Gene name,Common canary gene name,Common carp gene name,Common wall lizard gene name,Common wombat gene name,Coquerel's sifaka gene name
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
MRGPRG,,,,,
,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
MRGPRE,,,,,
PFDN1P2,,,,,
RPL7AP2,,,,,
PNN,PNN,pnn,,PNN,PNN
PNN,PNN,pnn,,PNN,PNN
,,,,,
,,,,,
RPL9P7,,,,,
HSPA9P1,,,,,
,,,,,
NDUFA5P8,,,,,
CXorf58,,,,,CXorf58
CD38,CD38,,CD38,CD38,CD38
MMEL1,,,,,
,,,,,
NDUFA5P1,,,,,
RFTN2,RFTN2,rftn2,RFTN2,RFTN2,RFTN2
RFTN2,RFTN2,rftn2,RFTN2,RFTN2,RFTN2
,,,,,
LINC01347,,,,,
DNALI1,DNALI1,dnali1,,DNALI1,DNALI1
DNALI1,DNALI1,dnali1,,DNALI1,DNALI1
DNALI1,DNALI1,dnali1,,DNALI1,DNALI1
DNALI1,DNALI1,dnali1,,DNALI1,DNALI1
,,,,,
,,,,,
SDCCAG8,,,,,
,,,,,
LINC01912,,,,,
,,,,,
TEX19,,,,,
RPP25L,RPP25L,rpp25l,RPP25L,RPP25L,RPP25L
RPP25L,RPP25L,rpp25l,RPP25L,RPP25L,RPP25L
,,,,,
,,,,,
,,,,,
,,,,,
KDSR-DT,,,,,
,,,,,
DCTN3,DCTN3,dctn3,DCTN3,DCTN3,DCTN3
,,,,,
NPRL3,NPRL3,nprl3,NPRL3,,NPRL3
NPRL3,NPRL3,nprl3,NPRL3,,NPRL3
NPRL3,NPRL3,nprl3,NPRL3,,NPRL3
NPRL3,NPRL3,nprl3,NPRL3,,NPRL3
,,,,,
,,,,,
SPATA16,,SPATA16,SPATA16,SPATA16,SPATA16
SPATA16,,SPATA16,SPATA16,SPATA16,SPATA16
,,,,,
,,,,,
LILRA4,,,,,
,,,,,
OGFOD3,OGFOD3,ogfod3,OGFOD3,OGFOD3,OGFOD3
OGFOD3,OGFOD3,ogfod3,OGFOD3,OGFOD3,OGFOD3
MYO3B-AS1,,,,,
ZNF195,,,,,
ZNF195,,,,,
ST8SIA5-DT,,,,,
MPP1,MPP1,,MPP1,MPP1,MPP1
MPP1,MPP1,,MPP1,MPP1,MPP1
RRAGC,RRAGC,rragd,RRAGC,RRAGC,
RRAGC,RRAGC,rragcb,RRAGC,RRAGC,
RRAGC,RRAGC,rragca,RRAGC,RRAGC,
RRAGC,RRAGC,rragcb,RRAGC,RRAGC,
RRAGC,RRAGC,rragca,RRAGC,RRAGC,
RRAGC,RRAGC,rragd,RRAGC,RRAGC,
RRAGC,RRAGC,rragcb,RRAGC,RRAGC,
RRAGC,RRAGC,rragca,RRAGC,RRAGC,
RRAGC,RRAGC,rragcb,RRAGC,RRAGC,
RRAGC,RRAGC,rragca,RRAGC,RRAGC,
RRAGC,RRAGC,rragd,RRAGC,RRAGC,
RRAGC,RRAGC,rragcb,RRAGC,RRAGC,
RRAGC,RRAGC,rragca,RRAGC,RRAGC,
RRAGC,RRAGC,rragcb,RRAGC,RRAGC,
RRAGC,RRAGC,rragca,RRAGC,RRAGC,
,,,,,
,,,,,
,,,,,
YTHDF2P1,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
TMA7B,,,,,
Y_RNA,,,,,
,,,,,
RNA5SP239,,,,,
,,,,,
FAM246C,,,,,
ST7-AS1,,,,,
,,,,,
NFAM1,NFAM1,,,,NFAM1
,,,,,
,,,,,
AREL1,AREL1,arel1,AREL1,AREL1,AREL1
AREL1,AREL1,arel1,AREL1,AREL1,AREL1
ST7-OT4,,,,,
MIR924HG,,,,,
LAIR1,,,,,
CEP57L1P1,,,,,
EIF4EBP2,,eif4ebp2,EIF4EBP2,EIF4EBP2,EIF4EBP2
EIF4EBP2,,eif4ebp2,EIF4EBP2,EIF4EBP2,EIF4EBP2
,,,,,
NODAL,,,,NODAL,NODAL
,,,,,
,,,,,
,,,,,
,,,,,
GRIK3,GRIK3,grik3,GRIK3,GRIK3,GRIK3
GRIK3,GRIK3,grik3,GRIK3,GRIK3,GRIK3
,,,,,
TPM3P1,,,,,
,,,,,
ZNF280B,,,,,ZNF280B
YY1P1,,,,,
MIR6132,,,,,
,,,,,
ST7-AS2,,,,,
HPRT1P1,,,,,
MECOM-AS1,,,,,
NAP1L5P1,,,,,
FGFBP1,FGFBP1,,FGFBP1,,
EBF3,EBF3,ebf3b,EBF3,EBF3,
ZNF280A,,,,,
MCUR1P2,,,,,
GALT,GALT,galt,GALT,GALT,GALT
GALT,GALT,,GALT,GALT,GALT
ATP1B3,ATP1B3,atp1b3a,ATP1B3,ATP1B3,ATP1B3
ATP1B3,ATP1B3,atp1b3b,ATP1B3,ATP1B3,ATP1B3
ATP1B3,ATP1B3,atp1b3a,ATP1B3,ATP1B3,ATP1B3
ATP1B3,ATP1B3,atp1b3b,ATP1B3,ATP1B3,ATP1B3
,,,,,
FGFBP2,FGFBP2,fgfbp2a,,,
FGFBP2,FGFBP2,fgfbp2b,,,
FGFBP2,FGFBP2,fgfbp2a,,,
FGFBP2,FGFBP2,fgfbp2b,,,
PRAME,,,,,PRAME
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
INHBB,INHBB,inhbb,INHBB,INHBB,INHBB
INHBB,INHBB,INHBB,INHBB,INHBB,INHBB
INHBB,INHBB,INHBB,INHBB,INHBB,INHBB
INHBB,INHBB,inhbb,INHBB,INHBB,INHBB
LINC01347,,,,,
MTND4P6,,,,,
TOMM34,TOMM34,,,TOMM34,TOMM34
MTCYBP6,,,,,
RNU6-747P,,,,,
Y_RNA,,,,,
RN7SL771P,,,,,
ADCK2,ADCK2,adck2,ADCK2,ADCK2,ADCK2
,,,,,
LNPK,LNPK,lnpk,LNPK,LNPK,LNPK
LNPK,LNPK,lnpa,LNPK,LNPK,LNPK
LNPK,LNPK,lnpa,LNPK,LNPK,LNPK
LNPK,LNPK,lnpk,LNPK,LNPK,LNPK
CLK2,,,,,
PLA2G2D,,,,PLA2G2D,PLA2G2D
,,,,,
HEXD-IT1,,,,,
,,,,,
,,,,,
,,,,,
PROM1,PROM1,prom1a,PROM1,PROM1,PROM1
PROM1,PROM1,prom1b,PROM1,PROM1,PROM1
PROM1,PROM1,prom1b,PROM1,PROM1,PROM1
PROM1,PROM1,prom1a,PROM1,PROM1,PROM1
NARF-AS1,,,,,
NARF-IT1,,,,,
,,,,,
MIR4731,,,,,
,,,,,
Y_RNA,,,,,
KCNS1,KCNS1,si:dkey-43k4.5,KCNS1,KCNS1,KCNS1
KCNS1,KCNS1,si:dkey-43k4.5,KCNS1,KCNS1,KCNS1
TEKT3,,tekt3,TEKT3,,TEKT3
TEKT3,,tekt3,TEKT3,,TEKT3
TEKT3,,tekt3,TEKT3,,TEKT3
TEKT3,,tekt3,TEKT3,,TEKT3
,,,,,
,,,,,
HNRNPFP1,,,,,
C10orf143,,,,,C10orf143
,,,,,
GUCA2B,,,,GUCA2B,GUCA2B
GUCA2B,,,,GUCA2B,GUCA2B
GUCA2B,,,,GUCA2B,GUCA2B
LINC00683,,,,,
,,,,,
,,,,,
CTAGE7P,,,,,
PPIAP32,,,,,
,,,,,
MMEL1-AS1,,,,,
GLRX3,GLRX3,glrx3,GLRX3,GLRX3,GLRX3
GLRX3,GLRX3,glrx3,GLRX3,GLRX3,GLRX3
WFDC12,,,,,WFDC12
PANK4,,,,,
NDUFB2,NDUFB2,ndufb2,,NDUFB2,NDUFB2
NDUFB2,NDUFB2,ndufb2,,NDUFB2,NDUFB2
PI3,,,,,PI3
RCC2,RCC2,rcc2,RCC2,RCC2,
RCC2,RCC2,rcc2,RCC2,RCC2,
RCC2,RCC2,rcc2,RCC2,RCC2,
RCC2,RCC2,rcc2,RCC2,RCC2,
LL22NC03-63E9.3,,,,,
IGLV2-34,,,,,
IGLV2-33,,,,,
IGLV2-33,,,,,
IGLV2-33,,,,,
IGLV2-33,,,,,
IGLV2-33,,,,,
IGLV2-33,,,,,
IGLV2-33,,,,,
IGLV2-33,,,,,
IGLV2-33,,,,,
IGLV2-33,,,,,
IGLV2-33,,,,,
IGLV2-33,,,,,
IGLV2-33,,,,,
IGLV2-33,,,,,
SEMG1,,,,,
MTND4P17,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
IGLV3-32,,,,,
SDHDP3,,,,,
IGLV3-31,,,,,
,,,,,
IGLV3-30,,,,,
BCRP4,,,,,
SEMG2,,,,,
HMGN1P37,,,,,
GGTLC2,,ggt1b,,,
GGTLC2,,,,,
GGTLC2,,,,,
GGTLC2,,ggt1b,,,
GGTLC2,,ggt1a,,,
GGTLC2,,ggt1a,,,
,,,,,
H2AB1,,,,,
RNU6-799P,,,,U6,
RNU6-799P,,,,U6,
,,,,,
RN7SL792P,,,,,
F8A1,,f8a,,,
F8A1,,f8a,,,
GMPS,GMPS,gmps,GMPS,GMPS,GMPS
GMPS,GMPS,gmps,GMPS,GMPS,GMPS
DEFB116,,,,,DEFB116
,,,,,
EEF1A1P31,,,,,
ZNF622P1,,,,,
FOXN3P1,,,,,
RPL31P3,,,,,
HAUS6P2,,,,,
H3P45,,,,,
RNA5SP480,,,,,
,,,,,
DEFB117,,,,,
,,,,,
DEFB118,,,,,DEFB118
Y_RNA,,,,,
RPL6P24,,,,,
GPRASP1,,armc10,,,
GPRASP1,,armc10,,,
HBZ,HBZ,,,,
HBZ,HBZ,,,,
HBZ,HBZ,,,,
HBZ,HBZ,,,,
,,,,,
RNA5SP301,,,,,
,,,,,
,,,,,
KIR3DL3,,,,,
IGLV3-29,,,,,
DEFB119,,,,,
IGLV2-28,,,,,
ACSL5,ACSL5,acsl5,ACSL5,ACSL5,ACSL5
ACSL5,ACSL5,acsl5,ACSL5,ACSL5,ACSL5
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
IGLV3-27,,,,,
LINC01927,,,,,
IGLV3-26,,,,,
IGLVVI-25-1,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
IGLV3-25,,,,,
,,,,,
PMP22,,pmp22a,PMP22,PMP22,PMP22
PMP22,,pmp22b,PMP22,PMP22,PMP22
PMP22,,pmp22a,PMP22,PMP22,PMP22
PMP22,,pmp22b,PMP22,PMP22,PMP22
HBM,,,,HBM,HBM
,,,,,
RPS26P45,,,,,
IGLV3-24,,,,,
IGLV2-23,,,,,
IGLV2-23,,,,,
IGLV2-23,,,,,
IGLV2-23,,,,,
IGLV2-23,,,,,
IGLV2-23,,,,,
IGLV2-23,,,,,
TMEM132D,,TMEM132D,,,TMEM132D
TMEM132D,,TMEM132D,,,TMEM132D
,,,,,
IGLVVI-22-1,,,,,
RNU6-589P,,,,,
PAX1,PAX1,pax1a,PAX1,PAX1,PAX1
PAX1,PAX1,pax1a,PAX1,PAX1,PAX1
PAX1,PAX1,pax1b,PAX1,PAX1,PAX1
PAX1,PAX1,pax1b,PAX1,PAX1,PAX1
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
IGLV3-22,,,,,
BEND7P1,,,,,
ARMCX5-GPRASP2,,armc10,,,
ARMCX5-GPRASP2,,armc10,,,
IGLV3-21,,,,,
IGLV3-21,,,,,
IGLV3-21,,,,,
IGLV3-21,,,,,
IGLV3-21,,,,,
IGLV3-21,,,,,
IGLV3-21,,,,,
IGLV3-21,,,,,
IGLV3-21,,,,,
IGLV3-21,,,,,
GPRASP3,,armc10,,,
GPRASP3,,armc10,,,
YWHAEP5,,,,,
,,,,,
,,,,,
IGLVI-20,,,,,
RPL23AP28,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
IGLV3-19,,,,,
RNU6-85P,,,,,
ZNF341,ZNF341,,ZNF341,ZNF341,ZNF341
,,,,,
,,,,,
,,,,,
IGLV2-18,,,,,
IGLV2-18,,,,,
IGLV2-18,,,,,
IGLV2-18,,,,,
IGLV2-18,,,,,
IGLV2-18,,,,,
IGLV2-18,,,,,
HBZP1,,,,,
,,,,,
MRPS33,MRPS33,mrps33,MRPS33,MRPS33,
MRPS33,MRPS33,mrps33,MRPS33,MRPS33,
MRPS33,MRPS33,mrps33,MRPS33,MRPS33,
MRPS33,MRPS33,mrps33,MRPS33,MRPS33,
,,,,,
MTCO2P7,,,,,
,,,,,
IGLV3-17,,,,,
,,,,,
LINC03110,,,,,
HBAP1,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
IGLV3-16,,,,,
SLC17A8,SLC17A8,slc17a8,SLC17A8,SLC17A8,SLC17A8
SLC17A8,SLC17A8,slc17a8,SLC17A8,SLC17A8,SLC17A8
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
HBA2,,hbae4,,,
IGLV3-15,,,,,
PRAMEF34P,,,,,
HSPA5P1,,,,,
,,,,,
IGLV2-14,,,,,
IGLV2-14,,,,,
IGLV2-14,,,,,
IGLV2-14,,,,,
IGLV2-14,,,,,
IGLV2-14,,,,,
IGLV2-14,,,,,
,,,,,
ZNF385B,,znf385b,,ZNF385B,ZNF385B
ZNF385B,,znf385b,,ZNF385B,ZNF385B
ZNF385B,,znf385b,,ZNF385B,ZNF385B
ZNF385B,,znf385b,,ZNF385B,ZNF385B
ZNF385B,,znf385b,,ZNF385B,ZNF385B
ZNF385B,,znf385b,,ZNF385B,ZNF385B
ZNF385B,,znf385b,,ZNF385B,ZNF385B
ZNF385B,,znf385b,,ZNF385B,ZNF385B
,,,,,
PRAMEF35P,,,,,
,,,,,
PRAMEF36P,,,,,
