HGNC ID	UniProt ID(supplied by UniProt)
HGNC:33502	
HGNC:13523	Q9H2X3
HGNC:52651	
HGNC:2054	Q9NY25
HGNC:14556	Q6EIG7
HGNC:14558	Q9BXN2
HGNC:26705	Q6UXN8
HGNC:16916	Q8IUN9
HGNC:10576	Q9Y240
HGNC:31713	Q5QGZ9
HGNC:53407	
HGNC:31966	Q2HXU8
HGNC:19832	Q86T13
HGNC:29013	Q2KHT3
HGNC:34520	Q6ZS10
HGNC:30388	A5D8T8
HGNC:33849	Q6UXF7
HGNC:28538	Q8NCF0
HGNC:34522	Q6UXS0
HGNC:34521	Q6ZU45
HGNC:24462	Q8IZS7
HGNC:2060	O14967
HGNC:26453	Q8NHS4
HGNC:2062	O00299
HGNC:32691	
HGNC:58671	
HGNC:58672	
HGNC:2063	O15247
HGNC:2064	O95833
HGNC:13518	Q9Y696
HGNC:49797	
HGNC:49798	
HGNC:49799	
HGNC:13517	Q9NZA1
HGNC:2065	Q96NY7
HGNC:23186	Q14677
HGNC:10461	P30622
HGNC:48586	
HGNC:2586	Q9UDT6
HGNC:24314	Q96DZ5
HGNC:26108	Q8N3C7
HGNC:2068	P49759
HGNC:2069	P49760
HGNC:2070	
HGNC:2071	P49761
HGNC:58198	
HGNC:49785	
HGNC:49786	
HGNC:13659	Q9HAZ1
HGNC:29841	Q5K131
HGNC:24070	Q5K130
HGNC:52287	
HGNC:19972	Q96JQ2
HGNC:24039	Q9H6B4
HGNC:2074	Q13286
HGNC:2076	O75503
HGNC:2077	Q9NWW5
HGNC:2079	Q9UBY8
HGNC:55523	
HGNC:17438	Q7Z7G1
HGNC:2080	P54105
HGNC:2081	
HGNC:2082	O15516
HGNC:16999	Q92989
HGNC:30664	Q9H078
HGNC:2084	Q16740
HGNC:2085	P04118
HGNC:21251	A2RUU4
HGNC:21250	Q6UWE3
HGNC:2087	O96005
HGNC:24308	Q96KA5
HGNC:49023	
HGNC:2088	O76031
HGNC:12605	P58418
HGNC:33939	A0PK11
HGNC:20795	Q8NCR9
HGNC:19715	Q9HAW4
HGNC:40896	
HGNC:58226	
HGNC:17447	O94985
HGNC:17448	Q9H4D0
HGNC:49095	
HGNC:18371	Q9BQT9
HGNC:2090	P09496
HGNC:58673	
HGNC:58674	
HGNC:2091	P09497
HGNC:2092	Q00610
HGNC:2093	P53675
HGNC:29437	Q9HBJ8
HGNC:2095	P10909
HGNC:19009	Q96AJ1
HGNC:29094	O75153
HGNC:38416	
HGNC:38453	
HGNC:28447	Q96NS8
HGNC:38470	
HGNC:38471	
HGNC:51571	
HGNC:51570	
HGNC:51573	
HGNC:51572	
HGNC:51574	
HGNC:51806	
HGNC:2096	Q15846
HGNC:23139	Q8IUQ0
HGNC:58429	
HGNC:23046	Q5SYC1
HGNC:25678	Q9HAE3
HGNC:18355	Q8N0X4
HGNC:39893	
HGNC:39894	
HGNC:56191	
HGNC:2097	P23946
HGNC:2098	Q9Y471
HGNC:18290	Q8NFW8
HGNC:25090	Q96DG6
HGNC:28783	Q7Z7K0
HGNC:58675	
HGNC:58676	
HGNC:58677	
HGNC:58678	
HGNC:24447	Q9NRP2
HGNC:51479	
HGNC:35428	P56277
HGNC:24319	Q8IY22
HGNC:2121	Q99788
HGNC:4463	P46091
HGNC:48602	
HGNC:18170	P30085
HGNC:56924	
HGNC:56925	
HGNC:27015	Q5EBM0
HGNC:28666	Q9BQ75
HGNC:19172	Q8IZ96
HGNC:19173	Q8TAZ6
HGNC:58533	
HGNC:19174	Q96MX0
HGNC:19175	Q8IZR5
HGNC:19176	Q96DZ9
HGNC:19177	Q9NX76
HGNC:19178	Q96FZ5
HGNC:19179	Q8IZV2
HGNC:21077	Q8N1G2
HGNC:25635	Q8IYT2
HGNC:14305	Q8N3K9
HGNC:26663	Q8NA66
HGNC:16145	Q96M20
HGNC:13164	P62633
HGNC:20675	Q96KN2
HGNC:58557	
HGNC:24437	Q96KP4
HGNC:26759	Q8N9A8
HGNC:55037	
HGNC:30183	Q9BYD5
HGNC:2148	P29973
HGNC:2149	Q16280
HGNC:2150	Q16281
HGNC:2152	Q8IV77
HGNC:2151	Q14028
HGNC:2153	Q9NQW8
HGNC:58258	
HGNC:19431	O95406
HGNC:28744	Q6PI25
HGNC:26802	Q8TBE1
HGNC:41163	
HGNC:41162	
HGNC:25013	Q9P003
HGNC:19700	Q969H4
HGNC:19701	Q8WXI2
HGNC:23034	Q6P9H4
HGNC:17005	O75829
HGNC:2155	P51911
HGNC:2156	Q99439
HGNC:39526	
HGNC:39527	
HGNC:39528	
HGNC:39529	
HGNC:39531	
HGNC:39532	
HGNC:39533	
HGNC:39534	
HGNC:39535	
HGNC:39536	
HGNC:39834	
HGNC:2157	Q15417
HGNC:54176	
HGNC:38666	
HGNC:102	Q9NRU3
HGNC:103	Q9H8M5
HGNC:104	Q8NE01
HGNC:53592	
HGNC:105	Q6P4Q7
HGNC:7877	A5YKK6
HGNC:7878	Q9NZN8
HGNC:7879	O75175
HGNC:7880	O95628
HGNC:39272	
HGNC:14099	Q9ULM6
HGNC:18042	Q96LI5
HGNC:32355	
HGNC:14101	Q9UIV1
HGNC:44248	
HGNC:44249	
HGNC:9207	Q9UFF9
HGNC:10445	Q92600
HGNC:23817	Q9H9A5
HGNC:41031	
HGNC:25217	Q9UKZ1
HGNC:2158	P09543
HGNC:25220	Q9BV87
HGNC:27786	Q3B7I2
HGNC:13529	Q9Y2B0
HGNC:55480	
HGNC:11968	Q9BT09
HGNC:28631	Q8N129
HGNC:2159	P21554
HGNC:2160	P34972
HGNC:24546	Q96F85
HGNC:26486	Q6PJW8
HGNC:26847	Q8N815
HGNC:2169	P26441
HGNC:2170	P26992
HGNC:48712	
HGNC:23432	Q9NXG0
HGNC:2171	Q12860
HGNC:2172	Q02246
HGNC:2173	Q9P232
HGNC:2174	Q8IWV2
HGNC:39985	
HGNC:39986	
HGNC:2175	O94779
HGNC:2176	Q9UQ52
HGNC:8011	P78357
HGNC:58591	
HGNC:13830	Q9UHC6
HGNC:40657	
HGNC:13834	Q9BZ76
HGNC:32035	Q96NU0
HGNC:53878	
HGNC:49591	
HGNC:49589	
HGNC:49580	
HGNC:49581	
HGNC:49588	
HGNC:49583	
HGNC:49585	
HGNC:49586	
HGNC:49587	
HGNC:18747	Q9C0A0
HGNC:18748	Q8WYK1
HGNC:55794	
HGNC:1858	Q7Z7A1
HGNC:29616	Q8N137
HGNC:21868	Q9GZY4
HGNC:56995	
HGNC:24990	Q9Y2R0
HGNC:24604	Q9NYJ1
HGNC:33848	Q86WW8
HGNC:18025	Q5JTJ3
HGNC:40825	
HGNC:25716	Q96BR5
HGNC:20492	Q96IL0
HGNC:29932	Q13057
HGNC:22199	O75128
HGNC:23571	Q53SF7
HGNC:55060	
HGNC:2180	O43405
HGNC:58454	
HGNC:6545	Q8WTW3
HGNC:6546	Q14746
HGNC:18619	Q96JB2
HGNC:18620	Q9H9E3
HGNC:14857	Q9UP83
HGNC:18621	Q9Y2V7
HGNC:18622	P83436
HGNC:18623	Q96MW5
HGNC:2184	P38432
HGNC:19927	
HGNC:25389	
HGNC:2197	P02452
HGNC:2198	P08123
HGNC:53133	
HGNC:2199	
HGNC:2200	P02458
HGNC:2201	P02461
HGNC:2202	P02462
HGNC:2203	P08572
HGNC:40156	
HGNC:39849	
HGNC:2204	Q01955
HGNC:2206	P53420
HGNC:2207	P29400
HGNC:2208	Q14031
HGNC:2209	P20908
HGNC:31368	Q5SY13
HGNC:2210	P05997
HGNC:14864	P25940
HGNC:2211	P12109
HGNC:2212	P12110
HGNC:55814	
HGNC:2213	P12111
HGNC:33484	
HGNC:38501	
HGNC:26674	A8TX70
HGNC:27023	A6NMZ7
HGNC:2214	Q02388
HGNC:2215	P27658
HGNC:2216	P25067
HGNC:2217	P20849
HGNC:2218	Q14055
HGNC:2219	Q14050
HGNC:2185	Q03692
HGNC:2186	P12107
HGNC:2187	P13942
HGNC:13947	
HGNC:2188	Q99715
HGNC:2190	Q5TAT6
HGNC:2191	Q05707
HGNC:2192	P39059
HGNC:58152	
HGNC:2193	Q07092
HGNC:2194	Q9UMD9
HGNC:2195	P39060
HGNC:23132	
HGNC:40155	
HGNC:2196	Q14993
HGNC:14670	Q9P218
HGNC:17025	Q96P44
HGNC:22989	Q8NFW1
HGNC:22990	Q86Y22
HGNC:41005	
HGNC:20821	Q17RW2
HGNC:18603	Q9BXS0
HGNC:32963	Q6ZST2
HGNC:18038	Q96A83
HGNC:22986	Q8IZC6
HGNC:22442	Q2UY09
HGNC:33789	Q6ZS62
HGNC:2220	Q9Y6Z7
HGNC:17213	Q9BWP8
HGNC:16016	Q5KU26
HGNC:26182	Q8NBJ5
HGNC:16790	Q8IYK4
HGNC:2226	Q9Y215
HGNC:51196	
HGNC:23024	Q8N668
HGNC:24993	Q86X83
HGNC:23332	Q9UBI1
HGNC:48326	
HGNC:26027	Q9H0A8
HGNC:51909	
HGNC:51910	
HGNC:17902	Q9GZQ3
HGNC:56190	
HGNC:24015	Q7Z4G1
HGNC:58500	
HGNC:16223	Q86VX2
HGNC:26036	Q9NX08
HGNC:25014	Q9P000
HGNC:30201	Q9Y6G5
HGNC:58400	
HGNC:2227	P49747
HGNC:2228	P21964
HGNC:26309	Q86VU5
HGNC:17440	Q8NHY2
HGNC:55666	
HGNC:31900	
HGNC:2230	P53621
HGNC:2231	P53618
HGNC:2232	P35606
HGNC:55579	
HGNC:53171	
HGNC:2234	O14579
HGNC:2236	Q9Y678
HGNC:2237	Q9UBF2
HGNC:2238	
HGNC:28848	Q9NQ92
HGNC:54677	
HGNC:30747	P61201
HGNC:2239	Q9UNS2
HGNC:56728	
HGNC:16702	Q9BT78
HGNC:2240	Q92905
HGNC:24332	
HGNC:45266	
HGNC:21749	Q7L5N1
HGNC:16758	Q9UBW8
HGNC:16760	Q9H9Q2
HGNC:24335	Q99627
HGNC:55816	
HGNC:45269	
HGNC:45270	
HGNC:45271	
HGNC:21314	Q8WXC6
HGNC:2243	P61923
HGNC:19356	Q9P299
HGNC:25223	Q96H96
HGNC:18175	Q9NZJ6
HGNC:19693	Q9Y3A0
HGNC:28722	Q5HYK3
HGNC:20233	Q9Y2Z9
HGNC:2244	Q99807
HGNC:55362	
HGNC:16812	Q8NI60
HGNC:19041	Q96D53
HGNC:25302	O75208
HGNC:26515	Q96MF6
HGNC:25819	Q9H8M1
HGNC:44912	
HGNC:44913	
HGNC:19012	Q9Y5Q5
HGNC:2252	P31146
HGNC:55367	
HGNC:2253	Q9BR76
HGNC:2254	Q9ULV4
HGNC:55002	
HGNC:2255	Q92828
HGNC:2256	Q9UQ03
HGNC:21356	Q6QEF8
HGNC:26161	P57737
HGNC:44424	
HGNC:2257	O00230
HGNC:51610	
HGNC:18304	Q14019
HGNC:58542	
HGNC:2086	
HGNC:24322	
HGNC:2265	P13073
HGNC:2266	
HGNC:38036	
HGNC:16232	Q96KJ9
HGNC:2267	P20674
HGNC:2268	
HGNC:20005	
HGNC:2269	P10606
HGNC:2270	
HGNC:2271	
HGNC:2272	
HGNC:2273	
HGNC:2274	
HGNC:2275	
HGNC:2276	
HGNC:39083	
HGNC:2277	P12074
HGNC:2278	
HGNC:35239	
HGNC:37633	
HGNC:56621	
HGNC:56622	
HGNC:56623	
HGNC:56624	
HGNC:2279	Q02221
HGNC:2280	P14854
HGNC:2281	
HGNC:2282	
HGNC:2283	
HGNC:2284	
HGNC:37675	
HGNC:37676	
HGNC:37677	
HGNC:24380	Q6YFQ2
HGNC:2285	P09669
HGNC:2286	
HGNC:16600	
HGNC:31721	
HGNC:32374	
HGNC:42791	
HGNC:47037	
HGNC:49359	
HGNC:49360	
HGNC:49361	
HGNC:49362	
HGNC:49363	
HGNC:49364	
HGNC:49365	
HGNC:49366	
HGNC:49368	
HGNC:49367	
HGNC:49369	
HGNC:49370	
HGNC:2287	P24310
HGNC:2288	P14406
HGNC:2289	O14548
HGNC:20006	
HGNC:2290	O60397
HGNC:2291	P24311
HGNC:24381	Q8TF08
HGNC:16529	
HGNC:16601	
HGNC:56507	
HGNC:56508	
HGNC:56585	
HGNC:2292	P15954
HGNC:2293	
HGNC:56510	
HGNC:56511	
HGNC:56512	
HGNC:2294	P10176
HGNC:31395	
HGNC:24382	Q7Z4L0
HGNC:56920	
HGNC:2260	Q12887
HGNC:38873	
HGNC:2261	Q9Y6N1
HGNC:2262	
HGNC:28216	Q96I36
HGNC:2263	Q7KZN9
HGNC:20213	Q9P0S2
HGNC:57007	
HGNC:2264	Q14061
HGNC:24341	
HGNC:26801	Q8N8Q8
HGNC:28074	Q49B96
HGNC:26970	Q5RI15
HGNC:31435	
HGNC:43772	
HGNC:7687	O00483
HGNC:29836	Q9NRX3
HGNC:29898	Q9C002
HGNC:29835	
HGNC:31362	
HGNC:58527	
HGNC:58528	
HGNC:58529	
HGNC:2295	P00450
HGNC:2296	P15085
HGNC:2297	P48052
HGNC:2298	P15088
HGNC:15740	Q9UI42
HGNC:15722	Q8WXQ8
HGNC:17245	Q8N4T0
HGNC:23228	Q8IZJ3
HGNC:58113	
HGNC:17272	Q9HC77
HGNC:2299	P15086
HGNC:2300	Q96IY4
HGNC:39898	
HGNC:2301	O75976
HGNC:53102	
HGNC:2303	P16870
HGNC:21744	Q9BZB8
HGNC:27523	
HGNC:21745	Q7Z5Q1
HGNC:49082	
HGNC:21746	Q8NE35
HGNC:21747	Q17RY0
HGNC:26159	A4D0V7
HGNC:31714	
HGNC:51815	A0A1W2PPM1
HGNC:55919	A0A1W2PPK0
HGNC:25801	Q9H799
HGNC:56117	
HGNC:28127	Q9BU20
HGNC:2309	O14810
HGNC:2310	Q6PUV4
HGNC:27652	Q8WVH0
HGNC:24330	Q7Z7G2
HGNC:2311	P14384
HGNC:55992	
HGNC:2312	P15169
HGNC:2313	P22792
HGNC:2314	Q99829
HGNC:2315	Q96FN4
HGNC:55398	
HGNC:2316	O75131
HGNC:2317	Q96A23
HGNC:2318	Q9HCH3
HGNC:2319	O95741
HGNC:2320	Q9UBL6
HGNC:23498	Q86YQ8
HGNC:53937	
HGNC:24336	Q8IYJ1
HGNC:21011	Q8IVL8
HGNC:2321	P36551
HGNC:2322	
HGNC:25632	Q9BRF8
HGNC:16910	Q9Y646
HGNC:2323	P31327
HGNC:30102	
HGNC:2324	Q10570
HGNC:19251	
HGNC:54959	
HGNC:2325	Q9P2I0
HGNC:2326	Q9UKF6
HGNC:2327	O95639
HGNC:33632	A6NMK7
HGNC:13871	Q16630
HGNC:57009	
HGNC:30098	Q8N684
HGNC:2328	P50416
HGNC:2329	Q92523
HGNC:18540	Q8TCG5
HGNC:2330	P23786
HGNC:49538	
HGNC:28116	Q5TA50
HGNC:14399	Q9H3G5
HGNC:40685	
HGNC:56138	
HGNC:2332	Q8N123
HGNC:15771	Q96SM3
HGNC:26977	Q8N436
HGNC:58377	
HGNC:2333	Q66K79
HGNC:2334	P17927
HGNC:40160	
HGNC:2335	Q2VPA4
HGNC:2336	P20023
HGNC:2338	P29762
HGNC:2339	P29373
HGNC:29219	Q6ZU35
HGNC:33454	Q6NV74
HGNC:28657	Q9BSW2
HGNC:28703	Q8N4Y2
HGNC:2340	P78560
HGNC:56184	
HGNC:56563	
HGNC:14122	Q96RY5
HGNC:2342	P43155
HGNC:2343	P82279
HGNC:18688	Q5IJ48
HGNC:20237	Q9BUF7
HGNC:49684	
HGNC:30185	Q96SW2
HGNC:17888	O75575
HGNC:29875	Q9UGL9
HGNC:2345	P16220
HGNC:2347	O43889
HGNC:18856	Q96BA8
HGNC:23720	Q70SY1
HGNC:41030	
HGNC:18855	Q68CJ9
HGNC:18854	Q8TEY5
HGNC:16844	Q02930
HGNC:2348	Q92793
HGNC:2350	O60519
HGNC:24050	Q8IUR6
HGNC:24905	Q9NS37
HGNC:2351	O75629
HGNC:14272	Q8IUH2
HGNC:14630	Q96HD1
HGNC:28150	Q6UXH1
HGNC:2352	Q03060
HGNC:2355	P06850
HGNC:2356	P24387
HGNC:2357	P34998
HGNC:2358	Q13324
HGNC:2359	Q9NZV1
HGNC:54057	
HGNC:2360	P50238
HGNC:44516	
HGNC:44517	
HGNC:44518	
HGNC:44519	
HGNC:2361	P52943
HGNC:17751	Q6Q6R5
HGNC:14312	Q9P021
HGNC:11701	P13385
HGNC:11703	P51864
HGNC:42350	
HGNC:11702	
HGNC:11704	
HGNC:11705	
HGNC:11706	
HGNC:11707	
HGNC:304	P54107
HGNC:12024	P16562
HGNC:16904	P54108
HGNC:18206	Q9H336
HGNC:25248	Q9H0B8
HGNC:2362	P46108
HGNC:58106	
HGNC:2363	P46109
HGNC:2364	O75462
HGNC:14281	Q9HC73
HGNC:17177	Q8IUI8
HGNC:54732	
HGNC:54733	
HGNC:54742	
HGNC:16148	Q9UJA2
HGNC:26393	
HGNC:2365	Q14194
HGNC:37078	
HGNC:15762	Q9BZJ0
HGNC:1230	Q9UBG3
HGNC:21299	Q5TZA2
HGNC:51677	H7BZ55
HGNC:33602	
HGNC:28170	Q86T23
HGNC:29405	Q8IVE0
HGNC:43864	
HGNC:43865	
HGNC:2366	Q9UKG9
HGNC:2367	P02741
HGNC:2368	
HGNC:37276	A4D126
HGNC:48962	
HGNC:2374	
HGNC:14882	Q9NQ79
HGNC:24313	O95727
HGNC:2379	O75718
HGNC:16062	Q6UUV9
HGNC:54616	
HGNC:27301	Q53ET0
HGNC:26148	Q6UUV7
HGNC:51433	
HGNC:2383	O43186
HGNC:2384	Q16526
HGNC:2385	Q49AN0
HGNC:2388	P02489
HGNC:2389	P02511
HGNC:2394	P05813
HGNC:2395	P53672
HGNC:2396	P53673
HGNC:2397	P53674
HGNC:2398	P43320
HGNC:2399	
HGNC:2400	P26998
HGNC:356	Q9Y4K1
HGNC:17295	Q8N1P7
HGNC:34427	Q68DQ2
HGNC:2408	P11844
HGNC:2409	P07316
HGNC:2410	P07315
HGNC:2411	P07320
HGNC:2412	
HGNC:2413	
HGNC:2414	
HGNC:20458	Q8WXF5
HGNC:58406	
HGNC:2417	P22914
HGNC:18246	Q9Y2S2
HGNC:2418	Q14894
HGNC:2419	Q08257
HGNC:2420	O95825
HGNC:52164	
HGNC:53757	
HGNC:2421	
HGNC:49203	
HGNC:2422	O75390
HGNC:18966	Q9Y600
HGNC:58448	
HGNC:24294	Q6PB30
HGNC:16847	Q9Y5P2
HGNC:26237	Q9Y5P2
HGNC:20923	
HGNC:30359	Q9Y534
HGNC:29905	O75534
HGNC:2431	P55060
HGNC:51232	
HGNC:2432	P09603
HGNC:2433	P07333
HGNC:2434	P04141
HGNC:2435	P15509
HGNC:2436	P32927
HGNC:2437	
HGNC:2438	P09919
HGNC:2439	Q99062
HGNC:24290	Q8TDX6
HGNC:58187	
HGNC:24292	Q8N6G5
HGNC:55174	
HGNC:55033	
HGNC:55034	
HGNC:2440	P0DML2
HGNC:2441	P0DML3
HGNC:2442	Q14406
HGNC:2444	P41240
HGNC:33113	A8MUP2
HGNC:14026	Q96PZ7
HGNC:19290	Q7Z408
HGNC:40882	
HGNC:19291	Q7Z407
HGNC:2445	P47710
HGNC:20230	
HGNC:20227	
HGNC:2447	P05814
HGNC:2446	P07498
HGNC:2451	P48729
HGNC:20289	Q8N752
HGNC:30446	
HGNC:30445	
HGNC:38669	
HGNC:2452	P48730
HGNC:2453	P49674
HGNC:2454	Q9HCP0
HGNC:2455	P78368
HGNC:28604	Q8NCQ2
HGNC:49739	
HGNC:2456	Q9Y6M4
HGNC:2457	P68400
HGNC:2459	P19784
HGNC:53637	A0A1B0GTH6
HGNC:2458	Q8NEV1
HGNC:2460	P67870
HGNC:54777	
HGNC:54779	
HGNC:54780	
HGNC:2466	Q6UVK1
HGNC:51505	
HGNC:16478	
HGNC:32424	
HGNC:38111	
HGNC:38535	
HGNC:29403	
HGNC:48360	
HGNC:48361	
HGNC:48363	
HGNC:48362	
HGNC:49195	
HGNC:2467	O95196
HGNC:26193	Q1MSJ5
HGNC:14300	Q96S65
HGNC:16006	Q9H175
HGNC:30729	Q8WYN3
HGNC:2469	P21291
HGNC:55856	
HGNC:2470	Q16527
HGNC:2471	
HGNC:56524	
HGNC:2472	P50461
HGNC:54183	
HGNC:2473	P01037
HGNC:2474	P09228
HGNC:45042	
HGNC:2475	P01034
HGNC:2476	P01036
HGNC:2477	P28325
HGNC:2478	Q15828
HGNC:2479	O76096
HGNC:2480	O60676
HGNC:13261	Q5W186
HGNC:16233	Q9H4G1
HGNC:39552	Q5W188
HGNC:44337	
HGNC:15959	Q9H112
HGNC:31920	
HGNC:44335	
HGNC:2481	P01040
HGNC:2482	P04080
HGNC:56380	
HGNC:2483	Q05048
HGNC:2484	P33240
HGNC:17086	Q9H0L4
HGNC:2485	Q12996
HGNC:27882	
HGNC:15958	Q9H114
HGNC:2486	
HGNC:2487	
HGNC:28720	Q9H6J7
HGNC:33267	Q5HYN5
HGNC:28400	Q5DJT8
HGNC:33268	Q8NHU0
HGNC:33270	P0DMU8
HGNC:33271	P0DMU7
HGNC:51260	P0DMV0
HGNC:51261	P0DMV1
HGNC:51262	P0DMV2
HGNC:51263	P0DMU9
HGNC:51336	
HGNC:33580	
HGNC:33282	Q5JQC4
HGNC:33283	Q5JQC4
HGNC:33284	Q5JQC4
HGNC:33285	Q5JQC4
HGNC:33286	Q5JQC4
HGNC:33287	Q5JQC4
HGNC:33288	Q5JQC4
HGNC:33289	Q5JQC4
HGNC:33290	Q5JQC4
HGNC:33291	Q5JQC4
HGNC:27397	Q5JQC4
HGNC:33292	Q5JQC4
HGNC:33293	P0C2W7
HGNC:53820	A0A0U1RQG5
HGNC:26047	Q8WUE5
HGNC:27286	P0C5K7
HGNC:54198	
HGNC:37196	
HGNC:37195	
HGNC:37174	
HGNC:33494	Q5H943
HGNC:24198	P78358
HGNC:2491	P78358
HGNC:2492	O75638
HGNC:24346	Q96RT6, Q9HC47
HGNC:24348	Q8IX95
HGNC:24772	Q8IX94
HGNC:28644	Q86UF2
HGNC:25111	
HGNC:37294	P0CG41
HGNC:37275	A4FU28
HGNC:37288	
HGNC:37293	
HGNC:37297	
HGNC:37298	
HGNC:37299	
HGNC:37295	A4D2H0
HGNC:41967	
HGNC:2494	Q13363
HGNC:48337	
HGNC:28307	C0HM98
HGNC:2495	P56545
HGNC:23940	
HGNC:45194	
HGNC:45195	
HGNC:45196	
HGNC:45197	
HGNC:45198	
HGNC:45199	
HGNC:45200	
HGNC:54511	
HGNC:54512	
HGNC:54513	
HGNC:2496	Q01459
HGNC:26169	Q2NKJ3
HGNC:13723	P49711
HGNC:55409	
HGNC:16234	Q8NI51
HGNC:19085	O95476
HGNC:56481	
HGNC:56482	
HGNC:2498	Q9Y5B0
HGNC:26370	
HGNC:21614	Q9GZU7
HGNC:17077	O14595
HGNC:58449	
HGNC:16890	O15194
HGNC:26936	Q05D32
HGNC:55415	
HGNC:55031	
HGNC:55042	
HGNC:2499	Q16619
HGNC:33173	
HGNC:2501	P32929
HGNC:18831	Q96CG8
HGNC:50463	
HGNC:23925	O43310
HGNC:58323	
HGNC:2505	P16410
HGNC:2509	P35221
HGNC:55535	
HGNC:2513	
HGNC:2510	P26232
HGNC:40165	
HGNC:2511	Q9UI47
HGNC:58344	
HGNC:2512	Q9UBT7
HGNC:2514	P35222
HGNC:16913	Q9NSA3
HGNC:40782	
HGNC:15879	Q8WYA6
HGNC:54948	
HGNC:2515	O60716
HGNC:2516	Q9UQB3
HGNC:2518	O60931
HGNC:56090	
HGNC:2519	P17812
HGNC:2520	Q9NRF8
HGNC:16850	Q6PD62
HGNC:2521	P17538
HGNC:2522	Q6GPI1
HGNC:2523	Q99895
HGNC:2524	P40313
HGNC:9251	P10619
HGNC:2527	P07858
HGNC:2528	P53634
HGNC:2529	P07339
HGNC:2530	P14091
HGNC:2531	Q9UBX1
HGNC:2532	P08311
HGNC:2535	P09668
HGNC:2536	P43235
HGNC:2537	P07711
HGNC:33132	Q5NE16
HGNC:2539	
HGNC:2540	
HGNC:2541	
HGNC:23645	
HGNC:23611	
HGNC:39084	
HGNC:2542	P43234
HGNC:2545	P25774
HGNC:2538	O60911
HGNC:2546	P56202
HGNC:2547	Q9UBR2
HGNC:3338	Q14247
HGNC:55592	
HGNC:15679	Q8WZ74
HGNC:25330	Q9P2B4
HGNC:29590	Q7Z7A3
HGNC:28005	Q2VPK5
HGNC:31108	P60606
HGNC:31109	P0C2S0
HGNC:55426	
HGNC:31110	Q4LDR2
HGNC:50507	A0A1B0GTU2
HGNC:53440	A0A1B0GV90
HGNC:2548	O60494
HGNC:44983	
HGNC:44984	
HGNC:44985	
HGNC:31350	Q9NWM3
HGNC:58621	
HGNC:28352	Q9H467
HGNC:2551	Q13616
HGNC:49567	
HGNC:2552	Q13617
HGNC:2553	Q13618
HGNC:2554	Q13619
HGNC:44027	
HGNC:2555	Q13620
HGNC:2556	Q93034
HGNC:21024	Q14999
HGNC:15982	Q8IWT3
HGNC:58240	
HGNC:54490	
HGNC:21101	O60888
HGNC:27367	
HGNC:24271	Q9NTM9
HGNC:2557	P39880, Q13948
HGNC:19347	O14529
HGNC:33694	
HGNC:33695	
HGNC:17937	Q86UP6
HGNC:26939	Q9P013
HGNC:29322	Q9HCG8
HGNC:25989	Q9NXE8
HGNC:10664	Q6UX04
HGNC:25613	Q69YN2
HGNC:26508	Q2TBE0
HGNC:26133	Q9H720
HGNC:10647	P78423
HGNC:2558	P49238
HGNC:2559	P78310
HGNC:23770	
HGNC:33973	
HGNC:33974	
HGNC:4602	P09341
HGNC:10641	
HGNC:4603	P19875
HGNC:4604	P19876
HGNC:10642	P42830
HGNC:10643	P80162
HGNC:6025	P10145
HGNC:7098	Q07325
HGNC:10637	P02778
HGNC:10638	O14625
HGNC:10672	P48061
HGNC:10639	O43927
HGNC:10640	O95715
HGNC:16642	Q9H2A7
HGNC:19232	Q6UXB2
HGNC:6026	P25024
HGNC:6027	P25025
HGNC:6028	
HGNC:4540	P49682
HGNC:2561	P61073
HGNC:1060	P32302
HGNC:16647	O00574
HGNC:24343	Q9P0U4
HGNC:27864	
HGNC:24593	Q9H2H0
HGNC:41054	
HGNC:26943	Q7LFL8
HGNC:53009	
HGNC:28589	Q8TB03
HGNC:30891	A8MYA2
HGNC:34229	A8MYA2
HGNC:30533	A0A1B0GTR3
HGNC:42787	P0DPH9
HGNC:26356	Q96LI9
HGNC:33713	A6NEN9
HGNC:33743	Q5JRM2
HGNC:2570	P00167
HGNC:2573	
HGNC:2574	
HGNC:2575	
HGNC:2576	
HGNC:24374	O43169
HGNC:26516	Q6P9G0
HGNC:28471	Q8WUJ1
HGNC:13397	Q9UHQ9
HGNC:24376	Q6BCY4
HGNC:2873	P00387
HGNC:20147	Q7L1T6
HGNC:32220	Q6IPT4
HGNC:2571	P49447
HGNC:23014	Q8NBI2
HGNC:26804	Q8N8Q1
HGNC:30253	O14569
HGNC:2577	P13498
HGNC:2578	P04839
HGNC:28672	Q9BQA9
HGNC:20797	Q53TN4
HGNC:2579	P08574
HGNC:19986	P99999
HGNC:20095	
HGNC:24410	
HGNC:24395	
HGNC:24413	
HGNC:24416	
HGNC:24421	
HGNC:24422	
HGNC:24423	
HGNC:24384	
HGNC:24385	
HGNC:24386	
HGNC:24388	
HGNC:24389	
HGNC:24390	
HGNC:24391	
HGNC:24392	
HGNC:24394	
HGNC:24396	
HGNC:24397	
HGNC:24398	
HGNC:24399	
HGNC:24400	
HGNC:24401	
HGNC:24402	
HGNC:24403	
HGNC:24405	
HGNC:24406	
HGNC:24407	
HGNC:24408	
HGNC:24409	
HGNC:24411	
HGNC:24412	
HGNC:24414	
HGNC:2580	
HGNC:2581	
HGNC:24417	
HGNC:24418	
HGNC:24419	
HGNC:23941	
HGNC:23942	
HGNC:23943	
HGNC:24383	
