"Type","Ancestral taxonomy","Ensembl identifier & gene name","Compare","Location","Target %id","Query %id"
"Paralogues","Placentals (Eutheria)","ENSG00000238490 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","6:108,060,818-108,060,930:1","91.15 %","91.15 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000238443 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","12:133,238,455-133,238,549:1","58.95 %","49.56 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000238426 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","X:41,316,488-41,316,589:1","63.73 %","57.52 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000238366 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","10:6,245,731-6,245,831:-1","62.38 %","55.75 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000223302 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","10:110,642,678-110,642,785:-1","72.22 %","69.03 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000223300 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","14:73,858,061-73,858,165:-1","81.90 %","76.11 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000223298 RNY3P8 RNY3 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:42492]","Region Comparison Alignment","13:95,310,830-95,310,955:-1","41.27 %","46.02 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000223271 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","15:66,348,276-66,348,375:1","69.00 %","61.06 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000223254 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:85,264,296-85,264,402:1","70.09 %","66.37 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000223220 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","8:70,780,914-70,781,008:-1","51.58 %","43.36 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000223188 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","9:130,120,806-130,120,912:1","71.03 %","67.26 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000223158 RNY1P3 RNY1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:42480]","Region Comparison Alignment","13:25,950,704-25,950,821:-1","76.27 %","79.65 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000223080 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","11:8,943,380-8,943,467:-1","50.00 %","38.94 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000223060 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","19:56,105,416-56,105,510:1","61.05 %","51.33 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000223023 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","18:23,024,596-23,024,703:1","69.44 %","66.37 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222997 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","10:130,505,106-130,505,201:1","44.79 %","38.05 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222941 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","7:151,916,331-151,916,418:1","54.55 %","42.48 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222883 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","3:75,964,980-75,965,069:-1","63.33 %","50.44 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000222881 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","17:40,391,232-40,391,338:-1","87.85 %","83.19 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222852 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","5:180,909,838-180,909,927:1","58.89 %","46.90 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222767 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","16:47,313,027-47,313,121:-1","58.95 %","49.56 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222733 RNY4P29 RNY4 pseudogene 29 [Source:HGNC Symbol;Acc:HGNC:42497]","Region Comparison Alignment","13:58,527,655-58,527,751:-1","57.73 %","49.56 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222701 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","16:30,471,587-30,471,703:1","50.43 %","52.21 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222698 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","22:41,045,497-41,045,591:1","49.47 %","41.59 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222658 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","9:12,885,321-12,885,417:1","53.61 %","46.02 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222649 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","6:119,057,880-119,057,974:1","53.68 %","45.13 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222614 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","19:46,736,312-46,736,419:1","71.30 %","68.14 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222613 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","4:140,779,039-140,779,141:-1","67.96 %","61.95 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222601 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","12:120,504,571-120,504,659:-1","60.67 %","47.79 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222579 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","12:104,851,824-104,851,918:1","52.63 %","44.25 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222529 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","11:118,970,498-118,970,595:1","56.12 %","48.67 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222511 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:8,796,571-8,796,673:-1","62.14 %","56.64 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222509 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","2:170,783,167-170,783,271:1","81.90 %","76.11 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222506 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","3:171,439,526-171,439,627:1","38.24 %","34.51 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222503 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","10:103,673,158-103,673,265:1","77.78 %","74.34 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222467 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","2:121,603,073-121,603,164:-1","58.70 %","47.79 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000222432 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","7:77,895,880-77,895,992:1","76.11 %","76.11 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000222430 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","10:101,952,605-101,952,704:-1","83.00 %","73.45 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222421 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","9:127,832,635-127,832,743:-1","53.21 %","51.33 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222412 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","10:31,756,042-31,756,136:-1","53.68 %","45.13 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000222395 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","18:32,263,135-32,263,234:-1","83.00 %","73.45 %"
"Paralogues","Placentals (Eutheria)","ENSG00000222394 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","2:137,715,332-137,715,440:1","85.32 %","82.30 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000222351 RNY1P15 RNY1 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:50878]","Region Comparison Alignment","9:122,945,988-122,946,094:-1","87.85 %","83.19 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000222335 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","3:196,202,349-196,202,453:1","74.29 %","69.03 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000222305 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","10:90,880,040-90,880,179:-1","62.14 %","76.99 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222224 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","2:28,927,243-28,927,340:-1","55.10 %","47.79 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222206 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","4:27,223,319-27,223,427:-1","75.23 %","72.57 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222160 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","12:107,650,789-107,650,892:1","54.81 %","50.44 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222148 RNY4P30 RNY4 pseudogene 30 [Source:HGNC Symbol;Acc:HGNC:42498]","Region Comparison Alignment","13:49,889,634-49,889,728:-1","55.79 %","46.90 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000222072 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","10:100,907,174-100,907,280:-1","59.81 %","56.64 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000212569 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","22:50,669,804-50,669,901:1","63.27 %","54.87 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000212556 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","3:127,202,372-127,202,473:-1","57.84 %","52.21 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000212512 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:202,070,841-202,070,943:1","55.34 %","50.44 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000212448 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","12:95,617,689-95,617,786:1","85.71 %","74.34 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000212418 RNY4P36 RNY4 pseudogene 36 [Source:HGNC Symbol;Acc:HGNC:50884]","Region Comparison Alignment","17:76,703,632-76,703,727:-1","53.12 %","45.13 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000212409 RNY4P18 RNY4 pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:34068]","Region Comparison Alignment","9:111,097,325-111,097,413:-1","53.93 %","42.48 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000212404 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","2:182,828,124-182,828,221:1","59.18 %","51.33 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000212392 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","3:57,493,667-57,493,780:1","71.93 %","72.57 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000212335 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","14:22,852,616-22,852,728:-1","88.50 %","88.50 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000212325 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","10:100,398,352-100,398,446:-1","55.79 %","46.90 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000212319 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","3:101,628,310-101,628,406:-1","54.64 %","46.90 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000212306 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","15:100,638,363-100,638,457:1","82.11 %","69.03 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000212241 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","X:115,139,030-115,139,123:-1","62.77 %","52.21 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000212205 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:211,803,017-211,803,104:1","75.00 %","58.41 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207525 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","16:74,463,888-74,463,988:-1","64.36 %","57.52 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207512 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","3:38,505,480-38,505,581:-1","62.75 %","56.64 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207499 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","6:106,420,706-106,420,807:1","66.67 %","60.18 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207497 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","4:185,709,873-185,709,967:-1","67.37 %","56.64 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207495 RNY3P10 RNY3 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:42494]","Region Comparison Alignment","13:69,802,940-69,803,041:1","59.80 %","53.98 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207494 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","10:124,814,958-124,815,062:-1","80.00 %","74.34 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207488 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","7:90,251,923-90,252,020:1","62.24 %","53.98 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207484 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","15:51,884,556-51,884,653:1","65.31 %","56.64 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207481 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","4:41,303,237-41,303,337:-1","66.34 %","59.29 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207480 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","4:88,330,176-88,330,278:-1","60.19 %","54.87 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000207474 RNY1P7 RNY1 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:42484]","Region Comparison Alignment","13:24,703,556-24,703,665:-1","88.18 %","85.84 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000207473 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","10:73,346,936-73,347,048:1","87.61 %","87.61 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207467 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","12:48,809,911-48,810,016:1","71.70 %","67.26 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207466 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:38,950,825-38,950,925:-1","66.34 %","59.29 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207458 RNY3P9 RNY3 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:42493]","Region Comparison Alignment","13:40,226,827-40,226,932:1","59.43 %","55.75 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207450 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","8:47,805,079-47,805,179:-1","59.41 %","53.10 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207439 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","5:65,123,369-65,123,474:1","79.25 %","74.34 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207438 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","10:68,503,152-68,503,259:1","65.74 %","62.83 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000207426 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","X:96,701,507-96,701,619:-1","92.04 %","92.04 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207425 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","16:14,915,457-14,915,556:-1","60.00 %","53.10 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207420 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","5:176,556,704-176,556,805:1","65.69 %","59.29 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207417 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","8:74,376,687-74,376,793:1","63.55 %","60.18 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207416 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","21:36,986,739-36,986,851:-1","85.84 %","85.84 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000207411 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","2:43,620,878-43,620,984:-1","77.57 %","73.45 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000207408 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","X:53,324,562-53,324,674:1","91.15 %","91.15 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207404 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","5:108,891,437-108,891,546:1","89.09 %","86.73 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207403 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","6:121,378,797-121,378,898:-1","60.78 %","54.87 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207401 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","9:110,934,406-110,934,507:1","62.75 %","56.64 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207395 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","15:69,406,441-69,406,552:1","83.04 %","82.30 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207391 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","5:79,534,853-79,534,954:1","58.82 %","53.10 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207387 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","12:70,906,917-70,907,018:1","63.73 %","57.52 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207386 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","2:206,025,593-206,025,697:1","63.81 %","59.29 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000207384 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","4:139,200,395-139,200,513:1","80.67 %","84.96 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207383 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","2:112,579,484-112,579,584:-1","66.34 %","59.29 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207382 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","17:62,661,621-62,661,725:-1","85.71 %","79.65 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000207380 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","20:5,964,538-5,964,650:1","85.84 %","85.84 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207379 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:93,385,711-93,385,817:1","83.18 %","78.76 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207371 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","6:41,917,416-41,917,526:-1","78.38 %","76.99 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000207370 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","3:193,624,189-193,624,301:1","88.50 %","88.50 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000207368 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","3:195,419,436-195,419,546:-1","88.29 %","86.73 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000207365 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","12:93,021,606-93,021,712:1","78.50 %","74.34 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207363 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","X:107,901,145-107,901,246:-1","62.75 %","56.64 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000207356 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:39,944,890-39,944,998:-1","90.83 %","87.61 %"
"Paralogues","Placentals (Eutheria)","ENSG00000207351 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","3:184,086,791-184,086,903:-1","87.61 %","87.61 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207342 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","14:88,840,165-88,840,263:1","61.62 %","53.98 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207329 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","9:109,324,685-109,324,796:1","85.71 %","84.96 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000207326 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:246,426,006-246,426,119:-1","83.33 %","84.07 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207325 RNY1P4 RNY1 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:42481]","Region Comparison Alignment","13:32,763,438-32,763,552:-1","77.39 %","78.76 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000207320 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","X:3,641,443-3,641,555:-1","86.73 %","86.73 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207319 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","2:206,701,065-206,701,185:-1","70.25 %","75.22 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207317 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","5:140,019,492-140,019,592:1","61.39 %","54.87 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000207316 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","3:88,431,191-88,431,309:1","78.99 %","83.19 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207305 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","20:2,453,010-2,453,117:-1","71.30 %","68.14 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207303 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","2:216,351,403-216,351,504:1","62.75 %","56.64 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207302 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:25,877,496-25,877,605:1","71.82 %","69.91 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000207300 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","6:137,784,374-137,784,486:1","84.96 %","84.96 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207294 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","16:15,150,697-15,150,796:1","60.00 %","53.10 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207293 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","5:57,169,108-57,169,209:-1","64.71 %","58.41 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000207292 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","6:149,631,437-149,631,549:1","92.04 %","92.04 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207290 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","5:128,371,099-128,371,212:-1","74.56 %","75.22 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207286 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","6:25,287,432-25,287,533:-1","63.73 %","57.52 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207283 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","3:5,086,178-5,086,279:-1","63.73 %","57.52 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000207282 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","20:18,113,467-18,113,579:-1","93.81 %","93.81 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207281 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","19:40,339,059-40,339,164:-1","66.98 %","62.83 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207271 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","10:36,626,015-36,626,138:-1","67.74 %","74.34 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207265 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","19:52,259,076-52,259,187:-1","81.25 %","80.53 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207258 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","8:38,744,020-38,744,131:1","87.50 %","86.73 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000207252 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","11:24,455,911-24,456,010:1","67.00 %","59.29 %"
