"id","abbreviation","name","external_note","pubmed_ids","desc_comment","desc_label","desc_source","desc_go","typical_gene"
"492","","Complement system","NULL","NULL","The complement system helps or 'complements' the ability of antibodies and phagocytic cells to clear pathogens from an organism. It is part of the immune system called the innate immune system that is not adaptable and does not change over the course of an individual's lifetime. However, it can be recruited and brought into action by the adaptive immune system.  The complement system consists of a number of small proteins found in the blood, in general synthesized by the liver, and normally circulating as inactive precursors (pro-proteins). When stimulated by one of several triggers, proteases in the system cleave specific proteins to release cytokines and initiate an amplifying cascade of further cleavages. The end-result of this activation cascade is massive amplification of the response and activation of the cell-killing membrane attack complex. Over 30 proteins and protein fragments make up the complement system, including serum proteins, serosal proteins, and cell membrane receptors. They account for about 5% of the globulin fraction of blood serum and can serve as opsonins.","Complement system","Wikipedia|https://en.wikipedia.org/wiki/Complement system","NULL","NULL"
"493","COG","Components of oligomeric golgi complex","NULL","16020545","NULL","NULL","NULL","NULL","NULL"
"495","CORO","Coronins","","23765056","Coronin is an actin binding protein which also interacts with microtubules and in some cell types is associated with phagocytosis. Coronin proteins are expressed in a large number of eukaryotic organisms from yeast to man.","Coronin","Wikipedia|https://en.wikipedia.org/wiki/Coronin","NULL","CORO1A"
"496","CDK","Cyclin dependent kinases","","19884882","Cyclin-dependent kinases (CDKs) are a family of protein kinases first discovered for their role in regulating the cell cycle. They are also involved in regulating transcription, mRNA processing, and the differentiation of nerve cells. They are present in all known eukaryotes, and their regulatory function in the cell cycle has been evolutionarily conserved. In fact, yeast cells can proliferate normally when their CDK gene has been replaced with the homologous human gene. CDKs are relatively small proteins, with molecular weights ranging from 34 to 40 kDa, and contain little more than the kinase domain. By definition, a CDK binds a regulatory protein called a cyclin. Without cyclin, CDK has little kinase activity; only the cyclin-CDK complex is an active kinase. CDKs phosphorylate their substrates on serines and threonines, so they are serine-threonine kinases. The consensus sequence for the phosphorylation site in the amino acid sequence of a CDK substrate is PX, where S/T* is the phosphorylated serine or threonine, P is proline, X is any amino acid, K is lysine, and R is arginine","Cyclin-dependent kinase","Wikipedia|https://en.wikipedia.org/wiki/Cyclin-dependent kinase","NULL","CDK1"
"497","CYB561","Cytochrome b561","","23249217","Cytochrome b561 is an integral membrane protein responsible for electron transport, binding two heme groups non-covalently. It is a family of ascorbate -dependent oxidoreductase enzymes.","Cytochrome b561","Wikipedia|https://en.wikipedia.org/wiki/Cytochrome b561","NULL","CYB561"
"498","DCAF","DDB1 and CUL4 associated factors","","17588513","NULL","NULL","NULL","NULL","NULL"
"499","DDX","DEAD-box helicases","","21509200,12782131","DEAD box proteins are involved in an assortment of metabolic processes that typically involve RNAs, but in some cases also other nucleic acids. They are highly conserved in nine motifs and can be found in both prokaryotes and eukaryotes, but not all. Many organisms, including humans, contain DEAD-box helicases, which are involved in RNA metabolism.","DEAD box","Wikipedia|https://en.wikipedia.org/wiki/DEAD box","NULL","DDX4"
"500","DHX","DEAH-box helicases","","21509200,12782131","NULL","NULL","NULL","NULL","DHX9"
"501","","Defensins","NULL","NULL","Families of microbicidal and cytotoxic peptides. Defensins have antibacterial, antifungal and antiviral properties. Defensins kills cells by forming voltage-regulated multimeric channels in the susceptible cell's membrane.","Defensin","UniProt|http://purl.uniprot.org/keywords/211","http://purl.uniprot.org/go/0006952","NULL"
"502","DEFA","Defensins, alpha","","NULL","Alpha defensins are a family of mammalian defensin peptides.  Defensins are 2-6 kDa, cationic, microbicidal peptides active against many Gram-negative and Gram-positive bacteria, fungi, and enveloped viruses, containing three pairs of intramolecular disulfide bonds. On the basis of their size and pattern of disulfide bonding, mammalian defensins are classified into alpha, beta and theta categories. Alpha-defensins, which have been identified in humans, monkeys and several rodent species, are particularly abundant in neutrophils, certain macrophage populations and Paneth cells of the small intestine.  ","Alpha defensin","Wikipedia|https://en.wikipedia.org/wiki/Alpha defensin","NULL","DEFA1"
"503","DEFB","Defensins, beta","","NULL","Beta defensins are a family of mammalian defensins. The beta defensins are antimicrobial peptides implicated in the resistance of epithelial surfaces to microbial colonization.  Defensins are 2-6 kDa, cationic, microbicidal peptides active against many Gram-negative and Gram-positive bacteria, fungi, and enveloped viruses, containing three pairs of intramolecular disulfide bonds. On the basis of their size and pattern of disulfide bonding, mammalian defensins are classified into alpha, beta and theta categories. Every mammalian species explored thus far has beta-defensins. In cows, as many as 13 beta-defensins exist in neutrophils. However, in other species, beta-defensins are more often produced by epithelial cells lining various organs (e.g. the epidermis, bronchial tree and genitourinary tract.  Human, rabbit and guinea-pig beta-defensins, as well as human beta-defensin-2 (hBD2), induce the activation and degranulation of mast cells, resulting in the release of histamine and prostaglandin D2.","Beta defensin","Wikipedia|https://en.wikipedia.org/wiki/Beta defensin","NULL","DEFB1"
"504","DENND","DENN domain containing","SMCR8, FLCN, C9orf72, FNIP1/2 and NPR2/3 contain divergent DENN domains, as described in PMID     23248642. ","23248642,9115275","NULL","NULL","NULL","NULL","DENND1A"
"505","DVL","Dishevelled segment polarity proteins","","NULL","NULL","NULL","NULL","NULL","DVL1"
"506","","Basic leucine zipper proteins","","","The Basic Leucine Zipper Domain ( bZIP domain ) is found in many DNA binding eukaryotic proteins. One part of the domain contains a region that mediates sequence specific DNA binding properties and the leucine zipper that is required to hold together (dimerize) two DNA binding regions. The DNA binding region comprises a number of basic amino acids such as arginine and lysine. Proteins containing this domain are transcription factors.","BZIP domain","Wikipedia|https://en.wikipedia.org/wiki/BZIP domain","NULL","BATF"
"508","FOX","Forkhead boxes","","10702024,20650821","FOX (Forkhead box) proteins are a family of transcription factors that play important roles in regulating the expression of genes involved in cell growth, proliferation, differentiation, and longevity. Many FOX proteins are important to embryonic development. FOX proteins also have pioneering transcription activity by being able to bind condensed chromatin during cell differentiation processes.   The defining feature of FOX proteins is the forkhead box, a sequence of 80 to 100 amino acids forming a motif that binds to DNA. This forkhead motif is also known as the winged helix due to the butterfly-like appearance of the loops in the protein structure of the domain. Forkhead genes are a subgroup of the helix-turn-helix class of proteins.","FOX proteins","Wikipedia|https://en.wikipedia.org/wiki/FOX proteins","NULL","FOXA1"
"510","HMG","High mobility group","NULL","NULL","High-Mobility Group or HMG is a group of chromosomal proteins that are involved in the regulation of DNA-dependent processes such as transcription, replication, recombination, and DNA repair.","High-mobility group","Wikipedia|https://en.wikipedia.org/wiki/High-mobility group","NULL","NULL"
"511","","Canonical high mobility group","","NULL","NULL","NULL","NULL","NULL","HMGB1"
"512","","Non-canonical high mobility group","","NULL","NULL","NULL","NULL","NULL","HMG20A"
"516","","Homeoboxes","","17963489","Protein which contains at least one homeobox, a conserved sequence originally detected, on the nucleotide level, in many of the genes which give rise to homeotic and segmentation mutants in Drosophila. The homeobox, also termed homeodomain, consists of about 60 amino acids and is involved in DNA-binding.","Homeobox","UniProt|http://purl.uniprot.org/keywords/371","http://purl.uniprot.org/go/0003677","NULL"
"517","","ANTP class homeoboxes","","17963489","NULL","NULL","NULL","NULL","NULL"
"518","","HOXL subclass homeoboxes","","17963489","NULL","NULL","NULL","NULL","HOXA1"
"519","","NKL subclass homeoboxes and pseudogenes","","17963489","NULL","NULL","NULL","NULL","NKX1-1"
"521","","PRD class homeoboxes and pseudogenes","","17963489","NULL","NULL","NULL","NULL","ALX1"
"522","","LIM class homeoboxes","","17963489","NULL","NULL","NULL","NULL","LHX1"
"523","POU","POU class homeoboxes and pseudogenes","","17963489","NULL","NULL","NULL","NULL","POU1F1"
"524","","HNF class homeoboxes","","17963489","NULL","NULL","NULL","NULL","HNF1A"
"525","SIX","SINE class homeoboxes","","","NULL","NULL","NULL","NULL","SIX1"
"526","","TALE class homeoboxes and pseudogenes","","17963489","NULL","NULL","NULL","NULL","IRX1"
"527","","CUT class homeoboxes and pseudogenes","","17963489","NULL","NULL","NULL","NULL","ONECUT1"
"528","PROX","PROS class homeoboxes","","17963489","NULL","NULL","NULL","NULL","PROX1"
"529","","ZF class homeoboxes and pseudogenes","","17963489","NULL","NULL","NULL","NULL","ZFHX2"
"530","CERS","CERS class homeoboxes","All <a href='/data/genegroup/#!/group/2261'>ceramide synthases</a> except CERS1 encode a CERS class homeobox.","17963489","NULL","NULL","NULL","NULL","CERS2"
"532","","Myb/SANT domain containing","","35980103","NULL","NULL","NULL","NULL","MYB"
"533","","Helix-turn-helix CENPB type domain containing","NULL","NULL","NULL","NULL","NULL","NULL","CENPB"
"534","","ETS transcription factor family","","17387021","NULL","NULL","NULL","NULL","ETS1"
"535","POL","DNA polymerases","","","Enzyme that catalyzes DNA synthesis by addition of deoxyribonucleotide units to a DNA chain using DNA as a template. They can also possess exonuclease activity and therefore function in DNA repair.","DNA-directed DNA polymerase","UniProt|http://purl.uniprot.org/keywords/239","http://purl.uniprot.org/go/0003887","NULL"
"536","DNA","Dyneins, axonemal","","35006274","Axonemal dyneins come in multiple forms that contain either one, two or three non-identical heavy chains (depending upon the organism and location in the cilium). Each heavy chain has a globular motor domain with a doughnut-shaped structure believed to resemble that of other AAA proteins, a coiled coil 'stalk' that binds to the microtubule, and an extended tail (or 'stem') that attaches to a neighboring microtubule of the same axoneme. Each dynein molecule thus forms a cross-bridge between two adjacent microtubules of the ciliary axoneme.","Axonemal dyneins","Wikipedia|http://en.wikipedia.org/wiki/Dynein#Axonemal_dynein","NULL","NULL"
"537","","Dyneins","","35006274","Dynein is a motor protein (also called molecular motor or motor molecule) in cells which converts the chemical energy contained in ATP into the mechanical energy of movement. Dynein transports various cellular cargo by 'walking' along cytoskeletal microtubules towards the minus-end of the microtubule, which is usually oriented towards the cell center. Thus, they are called 'minus-end directed motors.' This form of transport is known as retrograde transport. In contrast, kinesins, which are motor proteins that move toward the microtubules' plus end, are called plus-end directed motors.","Dynein","Wikipedia|https://en.wikipedia.org/wiki/Dynein","NULL","NULL"
"538","DYN","Dyneins, cytoplasmic","","16260502,16440056,30065109,35006274","Cytoplasmic dynein, which has a molecular mass of about 1.5 megadaltons (MDa), contains approximately twelve polypeptide subunits: two identical 'heavy chains', 520 kDa in mass, which contain the ATPase activity and are thus responsible for generating movement along the microtubule; two 74 kDa intermediate chains which are believed to anchor the dynein to its cargo; four 53–59 kDa intermediate chains; and several light chains which are less understood.","Cytoplasmic dyneins","Wikipedia|http://en.wikipedia.org/wiki/Cytoplasmic_dynein","NULL","NULL"
"539","ELP","Elongator acetyltransferase complex ","","22854966","NULL","NULL","NULL","NULL","NULL"
"540","","EMI domain containing","NULL","NULL","In molecular biology, the EMI domain, first named after its presence in proteins of the EMILIN family, is a small cysteine -rich protein domain of around 75 amino acids. The EMI domain is most often found at the N terminus of metazoan extracellular proteins that are forming or are compatible with multimer formation. It is found in association with other domains, such as C1q, laminin-type EGF-like, collagen-like, FN3, WAP, ZP or FAS1. It has been suggested that the EMI domain could be a protein-protein interaction module, as the EMI domain of EMILIN-1 was found to interact with the C1q domain of EMILIN-2.  ","EMI domain","Wikipedia|https://en.wikipedia.org/wiki/EMI domain","NULL","EMILIN1"
"542","","Receptor ligands","This list is derived from the IUPHAR/BPS Guide To Pharmacology ligand list of endogenous peptides encoded in the human genome:  http://www.guidetopharmacology.org/GRAC/LigandListForward?type=Endogenous-peptide&database=all","","NULL","NULL","NULL","NULL","NULL"
"543","ELMO","Engulfment and cell motility proteins","","","ELMO (Engulfment and Cell Motility) is a family of related proteins (~82 kDa) involved in intracellular signalling networks. These proteins have no intrinsic catalytic activity and instead function as adaptors which can regulate the activity of other proteins through their ability to mediate protein-protein interactions.","ELMO (protein)","Wikipedia|https://en.wikipedia.org/wiki/ELMO (protein)","NULL","ELMO1"
"544","","Exonucleases","","NULL","Enzyme that degrades DNA or RNA by progressively splitting off single nucleotides from one end of the chain.","Exonuclease","UniProt|http://purl.uniprot.org/keywords/269","http://purl.uniprot.org/go/0004527","NULL"
"546","EFN","Ephrins","","NULL","Ephrins also known as ephrin ligands or Eph family receptor interacting proteins are a family of proteins that serve as the ligands of the ephrin receptor. Ephrin receptors in turn compose the largest known subfamily of receptor protein-tyrosine kinases (RTKs).  Since ephrin ligands (ephrins) and Eph receptors (Ephs) are both membrane-bound proteins, binding and activation of Ephepherin signaling regulates a variety of biological processes during embryonic development including the guidance of axon growth cones, formation of tissue boundaries, cell migration, and segmentation. Additionally, Eph/epherin signaling has recently been identified to play a critical role in the maintenance of several processes during adulthood including long-term potentiation, angiogenesis, and stem cell differentiation.","Ephrin","Wikipedia|https://en.wikipedia.org/wiki/Ephrin","NULL","EFNA1"
"547","XPO","Exportins","","NULL","NULL","NULL","NULL","NULL","XPO1"
"548","FANC","FA complementation groups","Fanconi anemia (FA) is a rare disorder with diverse symptoms. Because the clinical symptoms vary considerably, and may be absent altogether, the FA diagnosis critically depends on a positive result from a chromosomal breakage test in which cells are exposed to a cross-linking agent such as diepoxybutane or mitomycin C.  The gene symbols for FA genes carry the root FANC# followed by a letter, to be assigned in alphabetical order by date of discovery.  If a gene with an existing approved symbol is identified as an FA causing gene, the original gene symbol is usually maintained and an appropriate FANC# symbol may be assigned as a synonym. Note that complementation group D was subsequently split into subgroups D1 and D2 when more than one gene was found to be responsible, FANCH was merged into FANCA based on PMID 10936108, and FANCK has not been used to avoid confusion with FANCA when pronounced. ","","NULL","NULL","NULL","NULL","NULL"
"550","FABP","Fatty acid binding protein family","","NULL","NULL","NULL","NULL","NULL","FABP1"
"552","","Fatty acid hydroxylase domain containing","","","NULL","NULL","NULL","NULL","AGMO"
"553","FADS","Fatty acid desaturases","","NULL","A fatty acid desaturase is an enzyme that removes two hydrogen atoms from a fatty acid, creating a carbon /carbon double bond.","Fatty acid desaturase","Wikipedia|https://en.wikipedia.org/wiki/Fatty acid desaturase","NULL","FADS1"
"554","","Fibrinogen C domain containing","NULL","NULL","NULL","NULL","NULL","NULL","ANGPT1"
"555","","Fibronectin type III domain containing","NULL","NULL","NULL","NULL","NULL","NULL","ABI3BP"
"556","FBLN","Fibulins","NULL","NULL","Fibulin (FY-beau-lin) (now known as Fibulin-1 FBLN1 ) is the prototypic member of a multigene family, currently with seven members. Fibulin-1 is a calcium-binding glycoprotein. In vertebrates, fibulin-1 is found in blood and extracellular matrices. In the extracellular matrix, fibulin-1 associates with basement membranes and elastic fibers. The association with these matrix structures is mediated by its ability to interact with numerous extracellular matrix constituents including fibronectin, proteoglycans, laminins and tropoelastin. In blood, fibulin-1 binds to fibrinogen and incorporates into clots.  Fibulins are secreted glycoproteins that become incorporated into a fibrillar extracellular matrix when expressed by cultured cells or added exogenously to cell monolayers. The five known members of the family share an elongated structure and many calcium-binding sites, owing to the presence of tandem arrays of epidermal growth factor-like domains. They have overlapping binding sites for several basement-membrane proteins, tropoelastin, fibrillin, fibronectin and proteoglycans, and they participate in diverse supramolecular structures. The amino-terminal domain I of fibulin consists of three anaphylatoxin -like (AT) modules, each approximately 40 residues long and containing four or six cysteines. The structure of an AT module was determined for the complement-derived anaphylatoxin C3a, and was found to be a compact alpha-helical fold that is stabilized by three disulphide bridges in the pattern Cys14, Cys25 and Cys36 (where Cys is cysteine). The bulk of the remaining portion of the fibulin molecule is a series of nine EGF-like repeats.","Fibulin","Wikipedia|https://en.wikipedia.org/wiki/Fibulin","NULL","FBLN1"
"557","FBX","F-boxes","","10531035,32429232","F-box proteins are proteins containing at least one F-box domain. The first identified F-box protein is one of three components of the SCF complex, which mediates ubiquitination of proteins targeted for degradation by the proteasome. F-box proteins have also been associated with cellular functions such as signal transduction and regulation of the cell cycle. In plants, many F-box proteins are represented in gene networks broadly regulated by microRNA -mediated gene silencing via RNA interference. In human cells, in high-iron condition, two iron atoms stabilise the F-Box FBXL5 and then the complex mediates the ubiquitination of IRP2.  The F-box domain is a protein structural motif of about 50 amino acids that mediates proteinâprotein interactions. It was first identified in cyclin F. The F-box motif interacts directly with the SCF protein Skp1, and F-box domains commonly exist in proteins in concert with other proteinâprotein interaction motifs such as leucine-rich repeats and WD repeats, which are thought to mediate interactions with SCF substrates.","F-box protein","Wikipedia|https://en.wikipedia.org/wiki/F-box protein","NULL","NULL"
"558","FBXL","F-box and leucine rich repeat proteins","","NULL","NULL","NULL","NULL","NULL","FBXL2"
"559","FBXW","F-box and WD repeat domain containing","NULL","NULL","NULL","NULL","NULL","NULL","FBXW2"
"560","FBXO","F-boxes other","","NULL","FBXO group members contain F-box domains and may contain other unrelated domains. The word 'other' is to distinguish this subgroup from the other two F-box subgroups: FBXW (members contain F-box domains and WD40 repeats) and FBXL (members contain F-box domains and leucine-rich repeats).","NULL","HGNC curator","NULL","FBXO2"
"561","FERMT","Fermitins","","NULL","The [fermitin or] kindlin family of proteins each contain a bipartite FERM domain comprising four subdomains F0, F1, F2, and F3 that show homology with the FERM head (H) domain of the cytoskeletal Talin protein. Kindlins have been linked to Kindler syndrome, leukocyte adhesion deficiency, cancer and other acquired human diseases. They are essential in the organisation of focal adhesions that mediate cell-extracellular matrix junctions and are involved in other cellular compartments that control cell-cell contacts and nucleus functioning. Therefore they are responsible for cell to cell crosstalk via cell-cell contacts and integrin mediated cell adhesion through focal adhesion proteins and as specialised adhesion structures of hematopoietic cells they are also present in podosome's F actin surrounding ring structure.","Fermitins","Wikipedia|https://en.wikipedia.org/wiki/FERMT3","NULL","NULL"
"562","","Gamma-aminobutyric acid (GABA) receptors","","NULL","The GABA receptors are a class of receptors that respond to the neurotransmitter gamma-aminobutyric acid (GABA), the chief inhibitory neurotransmitter in the vertebrate central nervous system. There are two classes of GABA receptors: GABA A and GABA B.  GABA A receptors are ligand-gated ion channels (also known as ionotropic receptors), whereas GABA B receptors are G protein-coupled receptors (also known as metabotropic receptors ).","GABA receptor","Wikipedia|https://en.wikipedia.org/wiki/GABA receptor","NULL","NULL"
"563","GABR","Gamma-aminobutyric acid type A receptor subunits","","NULL","The GABA A receptor (GABA AR) is an ionotropic receptor and ligand-gated ion channel. Its endogenous ligand is gamma-aminobutyric acid (GABA), the major inhibitory neurotransmitter in the central nervous system. Upon activation, the GABA A receptor selectively conducts Cl- through its pore, resulting in hyperpolarization of the neuron. This causes an inhibitory effect on neurotransmission by diminishing the chance of a successful action potential occurring. The reversal potential of the GABA A-mediated IPSP in normal solution is -70 mV, contrasting the GABA B IPSP.","GABAA receptor","Wikipedia|https://en.wikipedia.org/wiki/GABAA receptor","NULL","GABRA1"
"564","GGT","Gamma-glutamyltransferases","","18357469","Gamma-glutamyl transferase or gamma-glutamyl transpeptidase ( EC 2.3.2.2 ) is an enzyme that transfers gamma-glutamyl functional groups. It is found in many tissues, the most notable one being the liver, and has significance in medicine as a diagnostic marker.  GGT catalyzes the transfer of the gamma-glutamyl moiety of glutathione to an acceptor that may be an amino acid, a peptide or water (forming glutamate ). GGT plays a key role in the gamma-glutamyl cycle, a pathway for the synthesis and degradation of glutathione and drug and xenobiotic detoxification.","Gamma-glutamyl transferase","Wikipedia|https://en.wikipedia.org/wiki/Gamma-glutamyl transpeptidase","NULL","GGT1"
"565","GTF","General transcription factors","NULL","NULL","General transcription factors (GTFs), also known as basal transcriptional factors, are a class of protein transcription factors that bind to specific sites on DNA to activate transcription. GTFs, RNA polymerase, and the mediator multiple protein complex constitute the basic transcriptional apparatus. GTFs are also intimately involved in the process of gene regulation, and most are required for life.","General transcription factor","Wikipedia|https://en.wikipedia.org/wiki/General transcription factor","NULL","NULL"
"567","GST","Soluble glutathione S-transferases","The soluble glutathione S-transferases can be sub-divided into the cytosolic and mitochondrial forms: only GST kappa is exclusively mitochondrial, while GTSA1, GSTA4, GSTM1 and GSTP1 can all encode both cytosolic and mitochondrial forms, and all the other genes encode cytosolic proteins only. ","","NULL","NULL","NULL","NULL","GSTA1"
"568","GK","Glycerol kinases","NULL","NULL","Glycerol kinase is a phosphotransferase enzyme involved in triglycerides and glycerophospholipids synthesis.  Glycerol kinase catalyzes the transfer of a phosphate from ATP to glycerol thus forming glycerol phosphate (ATP + glycerol <=> ADP + sn-glycerol 3-phosphate ). Adipocytes lack glycerol kinase so they cannot metabolize the glycerol produced during triacyl glycerol degradation. This glycerol is instead shuttled to the liver via the blood where it is:","Glycerol kinase","Wikipedia|https://en.wikipedia.org/wiki/Glycerol kinase","NULL","GK"
"570","","Proteoglycans","The genes displayed in the gene table that is open by default on this page shows the proteoglycan-encoding genes that are not grouped into further subsets. You can view all genes in the subsets on this page by clicking on the plus sign next to the text 'Genes contained within subsets', or you can navigate through to the individual gene family page for each subset.","NULL","Protein containing one or more covalently linked and usually sulfated glycosaminoglycans, (e.g., chondroitin sulfate, dermatan sulfate, heparan sulfate, heparin, keratan sulfate). Glycosaminoglycans are polysaccharides made of repeating disaccharides (usually 40-100 times), which consist of uronic acid (or galactose) and hexosamines. Aggrecan, for example, is the major component in articular cartilage.","Proteoglycan","UniProt|http://purl.uniprot.org/keywords/654","NULL","NULL"
"571","SDC","Syndecans","","NULL","Syndecans are single transmembrane domain proteins that are thought to act as coreceptors, especially for G protein-coupled receptors. These core proteins carry three to five heparan sulfate and chondroitin sulfate chains, which allow for interaction with a large variety of ligands including fibroblast growth factors, vascular endothelial growth factor, transforming growth factor -beta, fibronectin and antithrombin -1. Interactions between fibronectin and some syndecans can be modulated by the extracellular matrix protein tenascin C.","Syndecan","Wikipedia|https://en.wikipedia.org/wiki/Syndecan","NULL","SDC1"
"572","GPC","Glypicans","","NULL","Glypicans constitute one of the two major families of heparan sulfate proteoglycans, with the other major family being syndecans. Six glypicans have been identified in mammals, and are referred to as GPC1 through GPC6.","Glypican","Wikipedia|https://en.wikipedia.org/wiki/Glypican","NULL","GPC1"
"573","","Small leucine rich repeat proteoglycans","","22524604","NULL","NULL","NULL","NULL","ASPN"
"574","","Hyalectan proteoglycans","","NULL","Lecticans, also known as hyalectans, are a family of proteoglycans (a type protein that is attached to chains of negatively charged polysaccharides ) that are components of the extracellular matrix. There are four members of the lectican family: aggrecan, brevican, neurocan, and versican. Lecticans interact with hyaluronan and tenascin-R to form a ternary complex.","Hyalectans","Wikipedia|https://en.wikipedia.org/wiki/Lectican","NULL","ACAN"
"575","","Collagen proteoglycans","This subset of the collagen family are also classified as proteoglycans.  Please view the gene family page 'Collagens' to see all human collagen genes.","NULL","NULL","NULL","NULL","NULL","NULL"
"578","GPN","GPN-loop GTPases","NULL","NULL","NULL","NULL","NULL","NULL","GPN1"
"579","GPATCH","G-patch domain containing","","NULL","NULL","NULL","NULL","NULL","GPATCH1"
"580","GIMAP","GTPases, IMAP","","17196432","NULL","NULL","NULL","NULL","GIMAP1"
"581","HAUS","HAUS augmin like complex ","","19427217","NULL","NULL","NULL","NULL","NULL"
"582","","Heat shock proteins","NULL","18663603","Heat shock proteins (HSP) are a group of proteins induced by heat shock, the most prominent members of this group are a class of functionally related proteins involved in the folding and unfolding of other proteins. Their expression is increased when cells are exposed to elevated temperatures or other stress. This increase in expression is transcriptionally regulated. The dramatic upregulation of the heat shock proteins is a key part of the heat shock response and is induced primarily by heat shock factor (HSF).","Heat shock protein","Wikipedia|https://en.wikipedia.org/wiki/Heat shock protein","NULL","NULL"
"583","HSPA","Heat shock 70kDa proteins","","NULL","The 70 kilodalton heat shock proteins ( Hsp70 s) are a family of conserved ubiquitously expressed heat shock proteins. Proteins with similar structure exist in virtually all living organisms. The Hsp70s are an important part of the cell's machinery for protein folding, and help to protect cells from stress.","Hsp70","Wikipedia|https://en.wikipedia.org/wiki/Hsp70","NULL","HSPA1A"
"584","DNAJ","DNAJ (HSP40) heat shock proteins","","NULL","In molecular biology, chaperone DnaJ, also known as Hsp40 (heat shock protein 40 kD), is a molecular chaperone protein. It is expressed in a wide variety of organisms from bacteria to humans.","Chaperone DnaJ","Wikipedia|https://en.wikipedia.org/wiki/Chaperone DnaJ","NULL","DNAJA1"
"585","HSPB","Small heat shock proteins","","NULL","NULL","NULL","NULL","NULL","NULL"
"586","HSP90","Heat shock 90kDa proteins","","NULL","Hsp90 ( heat shock protein 90 ) is a chaperone protein that assists other proteins to fold properly, stabilizes proteins against heat stress, and aids in protein degradation. It also stabilizes a number of proteins required for tumor growth, which is why Hsp90 inhibitors are investigated as anti-cancer drugs.  Heat shock proteins, as a class, are among the most highly expressed cellular proteins across all species. As their name implies, heat shock proteins protect cells when stressed by elevated temperatures. They account for 1-2% of total protein in unstressed cells. However, when cells are heated, the fraction of heat shock proteins increases to 4-6% of cellular proteins.","Hsp90","Wikipedia|https://en.wikipedia.org/wiki/Hsp90","NULL","HSP90AA1"
"587","","Chaperonins","","NULL","Chaperonins are proteins that provide favourable conditions for the correct folding of other proteins, thus preventing aggregation. Newly made proteins usually must fold from a linear chain of amino acids into a three-dimensional form. Chaperonins belong to a large class of molecules that assist protein folding, called molecular chaperones. The energy to fold proteins is supplied by adenosine triphosphate (ATP).","Chaperonin","Wikipedia|https://en.wikipedia.org/wiki/Chaperonin","NULL","CCT2"
"588","HLA","Histocompatibility complex","","NULL","The major histocompatibility complex ( MHC ) is a set of cell surface molecules encoded by a large gene family in all vertebrates. MHC molecules mediate interactions of leukocytes, also called white blood cells (WBCs), which are immune cells, with other leukocytes or body cells. MHC determines compatibility of donors for organ transplant as well as one's susceptibility to an autoimmune disease via crossreacting immunization.","Major histocompatibility complex","Wikipedia|https://en.wikipedia.org/wiki/Major histocompatibility complex","NULL","HLA-A"
"589","","Immunoglobulin superfamily domain containing","The V-set, C1-set, C2-set, and I-set domains are described in 'Sequence profiles of immunoglobulin and immunoglobulin-like domains' (see the link below) . The Immunoglobulin-like domain containing class represents genes encoding proteins with an Ig-like domain that do not fit into the other categories. The immunoglobulin and T cell receptor gene segments are not included in these categories; please see the separate Immunoglobulins and T cell receptors pages.","9417933","The immunoglobulin superfamily (IgSF) is a large group of cell surface and soluble proteins that are involved in the recognition, binding, or adhesion processes of cells. Molecules are categorized as members of this superfamily based on shared structural features with immunoglobulins (also known as antibodies); they all possess a domain known as an immunoglobulin domain or fold. Members of the IgSF include cell surface antigen receptors, co-receptors and co-stimulatory molecules of the immune system, molecules involved in antigen presentation to lymphocytes, cell adhesion molecules, certain cytokine receptors and intracellular muscle proteins. They are commonly associated with roles in the immune system.","Immunoglobulin superfamily","Wikipedia|https://en.wikipedia.org/wiki/Immunoglobulin superfamily","NULL","NULL"
"590","","V-set domain containing","","","V-set domains are Ig-like domains resembling the antibody variable domain. V-set domains are found in diverse protein families, including immunoglobulin light and heavy chains; in several T-cell receptors such as CD2 (Cluster of Differentiation 2), CD4, CD80, and CD86; in myelin membrane adhesion molecules; in junction adhesion molecules (JAM); in tyrosine-protein kinase receptors; and in the programmed cell death protein 1 (PD1).","Immunoglobulin V-set domain","Wikipedia|https://en.wikipedia.org/wiki/Immunoglobulin V-set domain","NULL","VSIG1"
"591","","C1-set domain containing","NULL","NULL","C1-set domains are classical Ig-like domains resembling the antibody constant domain. C1-set domains are found almost exclusively in molecules involved in the immune system.","Immunoglobulin C1-set domain","Wikipedia|https://en.wikipedia.org/wiki/Immunoglobulin C1-set domain","NULL","MICA"
"592","","C2-set domain containing","NULL","NULL","C2-set domains, which are Ig-like domains resembling the antibody constant domain. C2-set domains are found primarily in the mammalian T-cell surface antigens CD2 (Cluster of Differentiation 2), CD4 and CD80, as well as in vascular (VCAM) and intercellular (ICAM) cell adhesion molecules.","Immunoglobulin C2-set domain","Wikipedia|https://en.wikipedia.org/wiki/Immunoglobulin C2-set domain","NULL","CD2"
"593","","I-set domain containing","","9417933","NULL","NULL","NULL","NULL","JAM2"
"594","","Immunoglobulin like domain containing","","","NULL","NULL","NULL","NULL","IGSF1"
