,HGNC_ID,gene_symbol,alias_symbol,NCBI_ID,ENSG_ID,collision,source
3166,13819,SLCO1C1,OATP1,53919,ENSG00000139155,OATP1,HGNC
3612,14411,SLC25A21,ODC1,89874,ENSG00000183032,ODC1,HGNC
15849,29957,AZIN2,ODCp,113451,ENSG00000142920,ODCP,HGNC
1696,11957,MED12,OPA1,9968,ENSG00000184634,OPA1,HGNC
848,10985,SLC25A15,ORC1,10166,ENSG00000102743,ORC1,HGNC
9643,21708,CCM2,OSM,83605,ENSG00000136280,OSM,HGNC
5071,16105,OSER1,Osr1,51526,ENSG00000132823,OSR1,HGNC
32328,4848,HCRTR1,OXR1,3061,ENSG00000121764,OXR1,HGNC
43730,9405,PKN1,PAK1,5585,ENSG00000123143,PAK1,HGNC
4652,15607,ARHGEF7,PAK3,8874,ENSG00000102606,PAK3,HGNC
5026,16061,PAK6,PAK5,56924,ENSG00000137843,PAK5,HGNC
10374,23386,MYCBP2,PAM,23077,ENSG00000005810,PAM,HGNC
9997,22943,NLRP4,PAN2,147945,ENSG00000160505,PAN2,HGNC
8322,19979,RDH14,PAN2,57665,ENSG00000240857,PAN2,HGNC
9998,22944,NLRP6,PAN3,171389,ENSG00000174885,PAN3,HGNC
43499,9171,PODXL,PC,5420,ENSG00000128567,PC,HGNC
41755,6916,MBD1,PCM1,4152,ENSG00000141644,PCM1,HGNC
43485,9153,PNKD,PDC,25953,ENSG00000127838,PDC,HGNC
15991,30142,GDF15,PDF,9518,ENSG00000130513,PDF,HGNC
43199,8816,PDPK1,PDK1,5170,ENSG00000140992,PDK1,HGNC
10648,23682,PLPP6,PDP1,403313,ENSG00000205808,PDP1,HGNC
9392,21350,PDHX,PDX1,8050,ENSG00000110435,PDX1,HGNC
10685,23719,PGAP3,PER1,93210,ENSG00000161395,PER1,HGNC
9666,21731,PGAM4,PGAM1,441531,ENSG00000226784,PGAM1,HGNC
2988,13568,PGPEP1,PGP,54858,ENSG00000130517,PGP,HGNC
11825,25058,TPGS1,PGs1,91978,ENSG00000141933,PGS1,HGNC
43263,8893,PGF,PIGF,5228,ENSG00000119630,PIGF,HGNC
43783,9479,LONP1,PIM1,9361,ENSG00000196365,PIM1,HGNC
15042,29064,SFI1,PISD,9814,ENSG00000198089,PISD,HGNC
6182,17293,PRKD2,PKD2,25865,ENSG00000105287,PKD2,HGNC
4515,15449,LGALS13,PLAC8,29124,ENSG00000105198,PLAC8,HGNC
43990,9716,PXMP2,PMP22,5827,ENSG00000176894,PMP22,HGNC
15929,30061,PMS2CL,PMS2P13,441194,ENSG00000187953,PMS2P13,HGNC
43660,9327,PPY,PNP,5539,ENSG00000108849,PNP,HGNC
43514,9186,POLQ,POLH,10721,ENSG00000051341,POLH,HGNC
5625,16705,TENT4A,POLK,11044,ENSG00000112941,POLK,HGNC
43511,9183,POLK,POLQ,51426,ENSG00000122008,POLQ,HGNC
43534,9203,POMZP3,POM121,22932,ENSG00000146707,POM121,HGNC
6523,17820,NT5C3A,POMP,51251,ENSG00000122643,POMP,HGNC
1319,1152,POPDC1,POP1,11149,ENSG00000112276,POP1,HGNC
16096,30261,PYDC1,POP1,260434,ENSG00000169900,POP1,HGNC
15790,29887,NLRP2B,POP4,286430,ENSG00000215174,POP4,HGNC
6405,17652,PORCN,por,64840,ENSG00000102312,POR,HGNC
15829,29932,COASY,PPAT,80347,ENSG00000068120,PPAT,HGNC
32319,4847,HCRT,PPOX,3060,ENSG00000161610,PPOX,HGNC
44137,9893,RBL1,PRB1,5933,ENSG00000080839,PRB1,HGNC
43684,9355,PRDX5,PRDX6,25824,ENSG00000126432,PRDX6,HGNC
6411,17663,PITRM1,PreP,10531,ENSG00000107959,PREP,HGNC
10468,23497,PLPPR3,PRG2,79948,ENSG00000129951,PRG2,HGNC
4102,14966,PXDN,PRG2,7837,ENSG00000130508,PRG2,HGNC
9447,21411,AIFM2,PRG3,84883,ENSG00000042286,PRG3,HGNC
43760,9453,PRODH,PRODH2,5625,ENSG00000100033,PRODH2,HGNC
8041,19688,NECTIN4,PRR4,81607,ENSG00000143217,PRR4,HGNC
5662,16753,PRDX6,PRX,9588,ENSG00000117592,PRX,HGNC
6363,17586,MTCH1,PSAP,23787,ENSG00000137409,PSAP,HGNC
43809,9519,PSG2,PSG1,5670,ENSG00000242221,PSG1,HGNC
43880,9589,PTENP1,PTH2,11191,ENSG00000237984,PTH2,HGNC
11153,24265,PTRH2,PTH2,51651,ENSG00000141378,PTH2,HGNC
43969,9683,PTPRU,PTPRO,10076,ENSG00000060656,PTPRO,HGNC
41754,6915,MB,PVALB,4151,ENSG00000198125,PVALB,HGNC
4102,14966,PXDN,PXN,7837,ENSG00000130508,PXN,HGNC
8325,19983,RAB43,RAB11B,339122,ENSG00000172780,RAB11B,HGNC
8325,19983,RAB43,RAB41,339122,ENSG00000172780,RAB41,HGNC
35,10044,RNASE1,RAC1,6035,ENSG00000129538,RAC1,HGNC
42277,7670,NCOA3,RAC3,8202,ENSG00000124151,RAC3,HGNC
39,10048,RNASE6,RAD1,6039,ENSG00000169413,RAD1,HGNC
19629,3436,ERCC4,RAD1,2072,ENSG00000175595,RAD1,HGNC
7794,19278,RNASE7,RAE1,84659,ENSG00000165799,RAE1,HGNC
37,10046,RNASE3,RAF1,6037,ENSG00000169397,RAF1,HGNC
11107,24211,RNASE12,RAI1,493901,ENSG00000258436,RAI1,HGNC
7354,18750,RIN2,RASSF4,54453,ENSG00000132669,RASSF4,HGNC
43744,9438,PRKRA,RAX,8575,ENSG00000180228,RAX,HGNC
25373,40518,SEMA3F-AS1,RBM5-AS1,100129060,ENSG00000235016,RBM5-AS1,HGNC
44128,9885,ARID4A,RBP1,5926,ENSG00000032219,RBP1,HGNC
16161,30339,RIMBP2,RBP2,23504,ENSG00000060709,RBP2,HGNC
16816,3113,E2F1,RBP3,1869,ENSG00000101412,RBP3,HGNC
9365,21302,KCTD11,REN,147040,ENSG00000213859,REN,HGNC
804,10937,SLC19A1,RFC1,6573,ENSG00000173638,RFC1,HGNC
17883,32414,RGPD1,RGP1,400966,ENSG00000187627,RGP1,HGNC
17445,31911,RGL4,Rgr,266747,ENSG00000159496,RGR,HGNC
3488,14261,RGS18,RGS13,64407,ENSG00000150681,RGS13,HGNC
11,10010,RHEBP1,RHEB,6008,ENSG00000229927,RHEB,HGNC
41558,670,RHOD,Rho,29984,ENSG00000173156,RHO,HGNC
41034,6089,INSL6,RIF1,11172,ENSG00000120210,RIF1,HGNC
16128,30299,LRIF1,RIF1,55791,ENSG00000121931,RIF1,HGNC
5932,17019,PRICKLE1,RILP,144165,ENSG00000139174,RILP,HGNC
41031,6086,INSL3,RLF,3640,ENSG00000248099,RLF,HGNC
7792,19275,RNASE10,RNASE9,338879,ENSG00000182545,RNASE9,HGNC
40,10049,RNASEH1P1,RNH1,284203,ENSG00000265790,RNH1,HGNC
42539,7981,NR4A2,RNR1,4929,ENSG00000153234,RNR1,HGNC
219,10258,RORA,ROR1,6095,ENSG00000069667,ROR1,HGNC
219,10258,RORA,ROR2,6095,ENSG00000069667,ROR2,HGNC
1226,11398,WHR1,RP1,8859,ENSG00000204344,RP1,HGNC
41730,6891,MAPRE2,RP1,10982,ENSG00000166974,RP1,HGNC
39991,56716,TMEM184B-AS1,RP1,0,ENSG00000235246,RP1,HGNC
9611,21668,WHR1B,RP2,373159,ENSG00000250535,RP2,HGNC
17549,32036,NUDT19,RP2,390916,ENSG00000213965,RP2,HGNC
6152,17264,POLR1A,RPA1,25885,ENSG00000068654,RPA1,HGNC
8739,20454,POLR1B,RPA2,84172,ENSG00000125630,RPA2,HGNC
42332,7727,NEDD4,RPF1,4734,ENSG00000069869,RPF1,HGNC
246,10306,RPL15,RPL10,6138,ENSG00000174748,RPL10,HGNC
3503,14278,MRPL13,RPL13,28998,ENSG00000172172,RPL13,HGNC
254,10316,RPL23,rpL17,9349,ENSG00000125691,RPL17,HGNC
247,10307,RPL17,rpL23,6139,ENSG00000265681,RPL23,HGNC
7107,18479,RSL24D1,RPL24,51187,ENSG00000137876,RPL24,HGNC
43852,9559,PSMD2,Rpn1,5708,ENSG00000175166,RPN1,HGNC
43847,9554,PSMD1,Rpn2,5707,ENSG00000173692,RPN2,HGNC
313,10380,MRPS12,RPS12,6183,ENSG00000128626,RPS12,HGNC
10776,23818,RRP1B,RRP1,23076,ENSG00000160208,RRP1,HGNC
384,10458,RSC1A1,RS1,6248,ENSG00000215695,RS1,HGNC
9027,20846,HRNR,S100A16,388697,ENSG00000197915,S100A16,HGNC
60,10070,RNF7,SAG,9616,ENSG00000114125,SAG,HGNC
648,10770,SF3B3,SAP130,23450,ENSG00000189091,SAP130,HGNC
2903,13447,SLC38A1,SAT1,81539,ENSG00000111371,SAT1,HGNC
2904,13448,SLC38A2,SAT2,54407,ENSG00000134294,SAT2,HGNC
9965,2289,COX7A2L,SCAF1,9167,ENSG00000115944,SCAF1,HGNC
831,10969,SLC22A5,SCD,6584,ENSG00000197375,SCD,HGNC
684,10809,SGCG,SCG3,6445,ENSG00000102683,SCG3,HGNC
1294,11490,SYCP2,SCP2,10388,ENSG00000196074,SCP2,HGNC
5990,17077,CTDSP2,SCP2,10106,ENSG00000175215,SCP2,HGNC
508,10611,CCL13,SCYL1,6357,ENSG00000181374,SCYL1,HGNC
509,10612,CCL14,SCYL2,6358,ENSG00000276409,SCYL2,HGNC
510,10613,CCL15,SCYL3,6359,ENSG00000275718,SCYL3,HGNC
7933,19440,SBDS,SDS,51119,ENSG00000126524,SDS,HGNC
630,10751,SELENOP,SELP,6414,ENSG00000250722,SELP,HGNC
42541,7983,NR5A1,SF1,2516,ENSG00000136931,SF1,HGNC
646,10769,SF3B2,SF3b1,10992,ENSG00000087365,SF3B1,HGNC
6552,17851,REXO2,SFN,25996,ENSG00000076043,SFN,HGNC
746,10880,PMEL,SI,6490,ENSG00000185664,SI,HGNC
16659,30927,SLC6A20,SIT1,54716,ENSG00000163817,SIT1,HGNC
6928,18270,HHAT,ski,55733,ENSG00000054392,SKI,HGNC
2320,12641,UXT,SKP2,8409,ENSG00000126756,SKP2,HGNC
16387,30605,SEPSECS,SLA,51091,ENSG00000109618,SLA,HGNC
953,11087,SLIT3,SLIT1,6586,ENSG00000184347,SLIT1,HGNC
953,11087,SLIT3,slit2,6586,ENSG00000184347,SLIT2,HGNC
951,11085,SLIT1,SLIT3,6585,ENSG00000187122,SLIT3,HGNC
25263,4037,FYN,SLK,2534,ENSG00000010810,SLK,HGNC
15533,29604,LYNX1,SLURP2,66004,ENSG00000180155,SLURP2,HGNC
26134,4162,GARS1,SMAD1,2617,ENSG00000106105,SMAD1,HGNC
8630,20323,SMOC2,SMAP2,64094,ENSG00000112562,SMAP2,HGNC
4842,15862,SMOX,SMO,54498,ENSG00000088826,SMO,HGNC
44081,9834,RAI1,SMS,10743,ENSG00000108557,SMS,HGNC
18083,32652,SNORA58,SNORA58B,677836,ENSG00000249020,SNORA58B,HGNC
18487,33064,SNORD115-45,SNORD115-48,100036566,ENSG00000212380,SNORD115-48,HGNC
56,10067,RNF4,SNURF,6047,ENSG00000063978,SNURF,HGNC
14513,28468,SNX33,SNX30,257364,ENSG00000173548,SNX30,HGNC
43463,9118,PMP22,Sp110,5376,ENSG00000109099,SP110,HGNC
10012,22957,SPATS1,SPATA8,221409,ENSG00000249481,SPATA8,HGNC
16400,30621,SPNS1,SPIN1,83985,ENSG00000169682,SPIN1,HGNC
43630,9298,PPP1R9B,Spn,84687,ENSG00000108819,SPN,HGNC
3815,14677,DEAF1,SPN,10522,ENSG00000177030,SPN,HGNC
11230,24343,CXXC1,SPP1,30827,ENSG00000154832,SPP1,HGNC
16447,30677,GPKOW,Spp2,27238,ENSG00000068394,SPP2,HGNC
8296,19953,SGPP2,SPP2,130367,ENSG00000163082,SPP2,HGNC
1324,11526,TACR1,SPR,6869,ENSG00000115353,SPR,HGNC
1059,11204,SOX9,SRA1,6662,ENSG00000125398,SRA1,HGNC
1139,11298,SRMS,SRM,6725,ENSG00000125508,SRM,HGNC
17265,31708,LRP12,ST7,29967,ENSG00000147650,ST7,HGNC
3389,14107,PMEPA1,STAG1,56937,ENSG00000124225,STAG1,HGNC
2320,12641,UXT,STAP1,8409,ENSG00000126756,STAP1,HGNC
30685,4688,GUCY2C,STAR,2984,ENSG00000070019,STAR,HGNC
1232,11403,STK24,STK3,8428,ENSG00000102572,STK3,HGNC
12967,26333,SRFBP1,STRAP,153443,ENSG00000151304,STRAP,HGNC
7791,19274,TTC5,Strap,91875,ENSG00000136319,STRAP,HGNC
20391,35152,PAPPA-AS1,TAF4B,493913,ENSG00000256040,TAF4B,HGNC
581,10699,SEC14L2,TAP1,23541,ENSG00000100003,TAP1,HGNC
7271,18655,SEC14L3,TAP2,266629,ENSG00000100012,TAP2,HGNC
15795,29891,TCEA1P2,TCEA1,399511,ENSG00000230409,TCEA1,HGNC
42657,8117,TENM1,TEN1,10178,ENSG00000009694,TEN1,HGNC
43879,9588,PTEN,TEP1,5728,ENSG00000171862,TEP1,HGNC
20613,3541,F3,TF,2152,ENSG00000117525,TF,HGNC
32513,48673,USP2-AS1,THY1-AS1,100499227,ENSG00000245248,THY1-AS1,HGNC
4043,14900,IL22,TIFa,50616,ENSG00000127318,TIFA,HGNC
13749,2731,DDR2,TKT,4921,ENSG00000162733,TKT,HGNC
1624,11878,TMPRSS4,TMPRSS3,56649,ENSG00000137648,TMPRSS3,HGNC
1101,1126,BTF3P11,TNFRSF11B,690,ENSG00000118903,TNFRSF11B,HGNC
1688,11947,TNNI3,TNNC1,7137,ENSG00000129991,TNNC1,HGNC
1463,11708,TDO2,TPH2,6999,ENSG00000151790,TPH2,HGNC
1543,11795,THPO,TPO,7066,ENSG00000090534,TPO,HGNC
11835,25070,ACD,Tpp1,65057,ENSG00000102977,TPP1,HGNC
5158,16197,TP53RK,TPRKB,112858,ENSG00000172315,TPRKB,HGNC
5744,16836,TGFBRAP1,TRAP1,9392,ENSG00000135966,TRAP1,HGNC
1827,12101,TRAV1-1,TRAV11,28693,ENSG00000255569,TRAV11,HGNC
1545,11799,THRB,TRb,7068,ENSG00000151090,TRB,HGNC
16423,30646,SND1,TSN,27044,ENSG00000197157,TSN,HGNC
1571,11825,NKX2-1,TTF1,7080,ENSG00000136352,TTF1,HGNC
27186,42770,LINC00598,TTL,646982,ENSG00000215483,TTL,HGNC
2315,12636,UTS2,UCN2,10911,ENSG00000049247,UCN2,HGNC
2221,12530,UGT1A1,UGT1A,54658,ENSG00000241635,UGT1A,HGNC
2244,12553,UGT2B4,UGT2B11,7363,ENSG00000156096,UGT2B11,HGNC
12544,25847,UBE2Z,USE1,65264,ENSG00000159202,USE1,HGNC
7688,19143,USP32,USP10,84669,ENSG00000170832,USP10,HGNC
2299,12620,USP21,USP16,27005,ENSG00000143258,USP16,HGNC
2302,12624,USP25,USP21,29761,ENSG00000155313,USP21,HGNC
10245,23228,CPAMD8,VIP,27151,ENSG00000160111,VIP,HGNC
13727,2728,DDOST,WBP1,1650,ENSG00000244038,WBP1,HGNC
17036,3147,ECEL1,XCE,9427,ENSG00000171551,XCE,HGNC
2517,12904,ZNF121,ZNF20,7675,ENSG00000197961,ZNF20,HGNC
9254,21159,RNF141,ZNF230,50862,ENSG00000110315,ZNF230,HGNC
2508,12886,ZNF106,ZNF474,64397,ENSG00000103994,ZNF474,HGNC
10325,23328,ZFP1,ZNF475,162239,ENSG00000184517,ZNF475,HGNC
