gene_symbol,alias_symbol,collision,source
NFE2L1,"NRF1,LCR-F1,FLJ00380,NRF-1",NRF1,HGNC
NELL2,NRP2,NRP2,HGNC
KANSL1,"DKFZP727C091,MSL1v1,CENP-36,NSL1",NSL1,HGNC
SORT1,"Gp95,NT3",NT3,HGNC
MLF2,NTN4,NTN4,HGNC
CD47,"IAP,OA3",OA3,HGNC
SLCO1C1,"OATP-F,OATP1C1,OATP1",OATP1,HGNC
SLC25A21,"ODC1,ODC",ODC1,HGNC
AZIN2,"ODC-p,ODC1L,KIAA1945,ODCp",ODCP,HGNC
MED12,"CAGH45,HOPA,OPA1,TRAP230,KIAA0192,OKS,ARC240,Kto",OPA1,HGNC
TMEM126A,"DKFZp586C1924,OPA7",OPA7,HGNC
SLC25A15,"ORC1,D13S327",ORC1,HGNC
CCM2,"MGC4607,OSM",OSM,HGNC
OSER1,"dJ1183I21.1,HSPC207,Perit1,Osr1",OSR1,HGNC
HCRTR1,"OX1R,OXR1,ORXR1",OXR1,HGNC
ARID2,"KIAA1557,DKFZp686G052,FLJ30619,BAF200,SMARCF3,ZIPZAP,p200",P200,HGNC
ARFGEF1,"DKFZP434L057,BIG1,ARFGEP1,p200",P200,HGNC
HEATR5B,"KIAA1414,DKFZp686P15184,p200,p200a",P200,HGNC
PKN1,"DBK,PRK1,PKN,MGC46204,PAK1",PAK1,HGNC
ARHGEF7,"KIAA0142,PIXB,DKFZp761K1021,Nbla10314,DKFZp686C12170,BETA-PIX,COOL1,P85SPR,P85,P85COOL1,P50BP,PAK3,P50",PAK3,HGNC
PAK6,PAK5,PAK5,HGNC
MYCBP2,"PAM,KIAA0916,FLJ10106,PHR1",PAM,HGNC
RDH14,"PAN2,SDR7C4",PAN2,HGNC
NLRP4,"PYPAF4,FLJ32126,PAN2,RNH2,CLR19.5,CT58",PAN2,HGNC
NLRP6,"PYPAF5,PAN3,CLR11.4",PAN3,HGNC
PSG1,"PSGGA,CD66f,PBG1",PBG1,HGNC
PODXL,"PCLP,Gp200,PC,PODXL1,PDX,gp135",PC,HGNC
CSAD,"PCAP,CSD",PCAP,HGNC
MBD1,"PCM1,CXXC3",PCM1,HGNC
PNKD,"DYT8,PDC,DKFZp564N1362,FPD1,MR-1,BRP17,FKSG19,TAHCCP2,KIAA1184,KIPP1184,MGC31943,PKND1,MR-1S",PDC,HGNC
GDF15,"PLAB,MIC-1,PDF,MIC1,NAG-1,PTGFB",PDF,HGNC
PDPK1,PDK1,PDK1,HGNC
PLPP6,"FLJ90191,FLJ46512,PDP1",PDP1,HGNC
PDHX,"E3BP,proX,PDX1,OPDX,DLDBP",PDX1,HGNC
PGAP3,"MGC9753,CAB2,PP1498,PER1",PER1,HGNC
PGAM4,"dJ1000K24.1,PGAM3,PGAM-B,PGAM1",PGAM1,HGNC
PGPEP1,"PGP-I,Pcp,PGP,PGPI",PGP,HGNC
TPGS1,"GTRGEO22,PGs1",PGS1,HGNC
PGF,"PlGF-2,SHGC-10760,D12S1900,PIGF,PLGF,PlGF",PIGF,HGNC
LONP1,"LonHS,hLON,PIM1",PIM1,HGNC
SFI1,"KIAA0542,PISD,PPP1R139",PISD,HGNC
PRKD2,"PKD2,HSPC187,DKFZP586E0820",PKD2,HGNC
LGALS13,"PP13,PLAC8",PLAC8,HGNC
PXMP2,"PMP22,MPV17L3",PMP22,HGNC
PMS2CL,PMS2P13,PMS2P13,HGNC
PPY,PNP,PNP,HGNC
POLQ,POLH,POLH,HGNC
TENT4A,"POLK,TRF4,LAK-1,TRF4-1",POLK,HGNC
POLK,"POLQ,DINP",POLQ,HGNC
POMZP3,"POM-ZP3,POM121",POM121,HGNC
NT5C3A,"UMPH1,PSN1,PN-I,UMPH,P5'N-1,cN-III,p36,POMP,hUMP1",POMP,HGNC
PYDC1,"ASC2,POP1",POP1,HGNC
BVES,"HBVES,POP1,POPDC1",POP1,HGNC
NLRP2B,"NOD24,NALP2P,CLRX.1,POP4",POP4,HGNC
PORCN,"MG61,PORC,PPN,por",POR,HGNC
COASY,"DPCK,NBP,PPAT",PPAT,HGNC
HCRT,"PPOX,OX",PPOX,HGNC
RBL1,"p107,cp107,PRB1",PRB1,HGNC
PRDX5,"ACR1,AOEB166,MGC142285,PRXV,PMP20,B166,PRDX6,PLP,SBBI10,MGC117264,MGC142283",PRDX6,HGNC
PITRM1,"MP1,KIAA1104,hMP1,PreP",PREP,HGNC
PXDN,"KIAA0230,PRG2,MG50,D2S448,D2S448E,PXN",PRG2,HGNC
PLPPR3,"PRG-2,FLJ11535,LPPR3,PRG2",PRG2,HGNC
AIFM2,"FLJ14497,PRG3,FSP1",PRG3,HGNC
PRODH,"HSPOX2,PRODH1,PIG6,PRODH2,TP53I6,POX",PRODH2,HGNC
NECTIN4,"nectin-4,PRR4,LNIR",PRR4,HGNC
PRDX6,"AOP2,KIAA0106,1-Cys,NSGPx,PRX,aiPLA2,MGC46173,p29",PRX,HGNC
MTCH1,"CGI-64,PSAP,SLC25A49",PSAP,HGNC
TAP1,"PSF1,RING4,D6S114E",PSF1,HGNC
GINS1,"KIAA0186,PSF1",PSF1,HGNC
TAP2,"PSF2,RING11,D6S217E",PSF2,HGNC
GINS2,"PSF2,Pfs2",PSF2,HGNC
GINS3,"FLJ13912,PSF3",PSF3,HGNC
PSG2,"PSGGB,PSG1,CEA",PSG1,HGNC
PTRH2,"BIT1,CGI-147,PTH2,CFAP37",PTH2,HGNC
PTENP1,"PTEN2,psiPTEN,PTH2,PTEN-rs,PTENpg1",PTH2,HGNC
PTPRU,"PTPRO,hPTP-J,PCP-2,FMI,PTP",PTPRO,HGNC
MB,PVALB,PVALB,HGNC
PXDN,"KIAA0230,PRG2,MG50,D2S448,D2S448E,PXN",PXN,HGNC
RAB43,"RAB41,RAB11B,ISY1",RAB11B,HGNC
RAB43,"RAB41,RAB11B,ISY1",RAB41,HGNC
RNASE1,RAC1,RAC1,HGNC
NCOA3,"RAC3,AIB1,ACTR,p/CIP,TRAM-1,CAGH16,TNRC16,KAT13B,bHLHe42,SRC-3,SRC3",RAC3,HGNC
RNASE6,"RAD1,RNaseK6",RAD1,HGNC
ERCC4,"RAD1,FANCQ",RAD1,HGNC
RNASE7,RAE1,RAE1,HGNC
RNASE3,"ECP,RAF1",RAF1,HGNC
RNASE12,RAI1,RAI1,HGNC
RIN2,RASSF4,RASSF4,HGNC
PRKRA,"PACT,RAX,HSD14,DYT16",RAX,HGNC
SEMA3F-AS1,RBM5-AS1,RBM5-AS1,HGNC
ARID4A,"RBP1,RBP-1",RBP1,HGNC
RIMBP2,"KIAA0318,RBP2,MGC15831,RIM-BP2,PPP1R133",RBP2,HGNC
E2F1,RBP3,RBP3,HGNC
RNF139,"TRC8,RCA1,HRCA1",RCA1,HGNC
KANSL3,"FLJ10081,Rcd1,NSL3",RCD1,HGNC
CNOT9,"RCD1,RCD1+,CT129,CAF40",RCD1,HGNC
KCTD11,"REN,KCASH1",REN,HGNC
SLC19A1,"FOLT,RFC1,IFC-1,RFC,hRFC,RFT-1",RFC1,HGNC
RGPD1,RGP1,RGP1,HGNC
RGL4,Rgr,RGR,HGNC
RGS18,RGS13,RGS13,HGNC
RHEBP1,RHEB,RHEB,HGNC
RHOD,"RhoHP1,Rho",RHO,HGNC
LRIF1,"RIF1,FLJ11269",RIF1,HGNC
INSL6,RIF1,RIF1,HGNC
PRICKLE1,"FLJ31937,EPM1B,RILP",RILP,HGNC
INSL3,"RLF,MGC119818,MGC119819",RLF,HGNC
RMND1,"bA351K16.3,FLJ20627,RMD1",RMD1,HGNC
RMDN1,"CGI-90,FLJ20665,RMD1",RMD1,HGNC
RNASE10,"RNASE9,RAH1",RNASE9,HGNC
RNASEH1P1,RNH1,RNH1,HGNC
NR4A2,"TINUR,NOT,RNR1,HZF-3",RNR1,HGNC
SNORD3A,"U3,RNU3",RNU3,HGNC
RORA,"RZRA,ROR1,ROR2,ROR3,NR1F1,ROR-alpha,RORalpha,RORa1,RORα",ROR1,HGNC
RORA,"RZRA,ROR1,ROR2,ROR3,NR1F1,ROR-alpha,RORalpha,RORa1,RORα",ROR2,HGNC
TMEM184B-AS1,"RP1-5O6.5,RP1",RP1,HGNC
STK19,"D6S60,G11,RP1",RP1,HGNC
MAPRE2,"RP1,EB1,EB2",RP1,HGNC
NUDT19,RP2,RP2,HGNC
STK19B,"bPG116M5.10,RP2",RP2,HGNC
SREBF2-AS1,"RP5,821D11.7",RP5,HGNC
POLR1A,"DKFZP586M0122,FLJ21915,RPO1-4,RPA1,RPA190",RPA1,HGNC
POLR1B,"Rpo1-2,FLJ21921,FLJ10816,RPA2,RPA135",RPA2,HGNC
NEDD4,"KIAA0093,MGC176705,NEDD4-1,RPF1",RPF1,HGNC
RPL15,"RPL10,RPLY10,RPYL10,EC45,L15,eL15",RPL10,HGNC
MRPL13,"L13,RPL13,L13mt,RPML13,L13A,uL13m",RPL13,HGNC
RPL23,"rpL17,L23,uL14",RPL17,HGNC
RPL17,"rpL23,L17,uL22",RPL23,HGNC
RSL24D1,"HRP-L30-iso,L30,RPL24L,RPL24",RPL24,HGNC
PSMD2,"S2,P97,TRAP2,MGC14274,Rpn1",RPN1,HGNC
PSMD1,"S1,P112,Rpn2",RPN2,HGNC
MRPS12,"RPS12,RPSM12,uS12m",RPS12,HGNC
RRP1B,"Nnp1,RRP1,PPP1R136",RRP1,HGNC
RSC1A1,RS1,RS1,HGNC
SELENON,"SELN,RSS",RSS,HGNC
HRNR,"S100a18,S100A16,FLG3",S100A16,HGNC
RPS11,"S11,uS17",S11,HGNC
RPS12,"S12,eS12",S12,HGNC
PSMD7,"S12,P40,MOV34,Rpn8",S12,HGNC
HTR1B,"S12,5-HT1B,HTR1D2,5-HT1DB",S12,HGNC
RPS13,"S13,uS15",S13,HGNC
PSMD8,"S14,Nin1p,p31,HIP6,HYPF,Rpn12",S14,HGNC
THRSP,"SPOT14,Lpgp,S14,THRP",S14,HGNC
RPS14,"EMTB,S14,uS11",S14,HGNC
RPS7,"S7,eS7",S7,HGNC
PSMC2,"MSS1,S7,Nbla10058,RPT1",S7,HGNC
PSMC5,"SUG1,p45/SUG,TBP10,p45,S8,TRIP1,SUG-1,RPT6",S8,HGNC
RPS8,"S8,eS8",S8,HGNC
PSMD11,"S9,p44.5,MGC3844,Rpn6",S9,HGNC
RPS9,"S9,uS4",S9,HGNC
RNF7,"SAG,ROC2,CKBBP1,RBX2",SAG,HGNC
SF3B3,"SAP130,SF3b130,RSE1,KIAA0017",SAP130,HGNC
SLC38A1,"ATA1,NAT2,SAT1,SNAT1",SAT1,HGNC
SLC38A2,"SAT2,ATA2,KIAA1382,SNAT2",SAT2,HGNC
COX7A2L,"EB1,COX7RP,COX7AR,SIG81,SCAF1,SCAFI",SCAF1,HGNC
WASF3,"WAVE3,SCAR3,KIAA0900",SCAR3,HGNC
SLC22A5,"OCTN2,SCD",SCD,HGNC
SGCG,"SCARMD2,DAGA4,SCG3,DMDA,TYPE,A4,MGC130048",SCG3,HGNC
SYCP2,SCP2,SCP2,HGNC
CTDSP2,"OS4,SCP2,PSR2",SCP2,HGNC
CCL13,"MCP-4,NCC-1,SCYL1,CKb10,MGC17134",SCYL1,HGNC
CCL14,"HCC-1,HCC-3,NCC-2,SCYL2,CKb1,MCIF",SCYL2,HGNC
CCL15,"HCC-2,NCC-3,SCYL3,MIP-5,Lkn-1,MIP-1d,HMRP-2B",SCYL3,HGNC
SBDS,"CGI-97,FLJ10917,SDS,SWDS,SDO1",SDS,HGNC
SELENOP,"SeP,SELP,SEPP",SELP,HGNC
TSEN2,"SEN2,SEN2L,MGC2776",SEN2,HGNC
KITLG,"SCF,SF,Kitl,KL-1,FPH2,SLF,DFNA69",SF,HGNC
HGF,"SF,F-TCF,HGFB,HPTA",SF,HGNC
NR5A1,"FTZ1,SF-1,ELP,AD4BP,hSF-1,SF1",SF1,HGNC
SF3B2,"SAP145,SF3b1,Cus1,SF3b145",SF3B1,HGNC
REXO2,"DKFZP566E144,SFN,CGI-114",SFN,HGNC
PMEL,"D12S53E,SI,Pmel17,gp100,HMB-45,ME20,HMB45",SI,HGNC
SLC6A20,"XT3,Xtrp3,SIT1,IMINO",SIT1,HGNC
HHAT,"FLJ10724,MART-2,MART2,Skn,ski,rasp,sit,GUP2",SKI,HGNC
UXT,"ART-27,STAP1,SKP2",SKP2,HGNC
SEPSECS,"SLA/LP,SLA,SLA-p35,SecS",SLA,HGNC
SLIT3,"slit2,MEGF5,SLIT1,Slit-3",SLIT1,HGNC
SLIT3,"slit2,MEGF5,SLIT1,Slit-3",SLIT2,HGNC
SLIT1,"MEGF4,Slit-1,SLIT3",SLIT3,HGNC
FYN,"SYN,SLK,MGC45350",SLK,HGNC
LYNX1,SLURP2,SLURP2,HGNC
GARS1,"GlyRS,DSMAV,SMAD1",SMAD1,HGNC
SMOC2,SMAP2,SMAP2,HGNC
SMOX,"FLJ20746,dJ779E11.1,PAO,PAOh1,MGC1010,SMO",SMO,HGNC
RAI1,"DKFZP434A139,SMS,KIAA1820,MGC12824",SMS,HGNC
SNORA58,"ACA58,SNORA58B",SNORA58B,HGNC
SNORD115-45,"HBII-52-45,SNORD115-48",SNORD115-48,HGNC
RNF4,"RES4-26,SNURF,SLX5",SNURF,HGNC
SNX33,"MGC32065,SH3PXD3C,SNX30",SNX30,HGNC
PMP22,"HNPP,GAS3,Sp110,HMSNIA",SP110,HGNC
SPAAR,SPAR,SPAR,HGNC
SPATS1,"SPATA8,FLJ25442,SRSP1",SPATA8,HGNC
SPG32,SPG29,SPG29,HGNC
SPNS1,"HSpin1,nrs,SPINL,PP2030,SPIN1,LAT,SLC63A1",SPIN1,HGNC
DEAF1,"NUDR,SPN,ZMYND5",SPN,HGNC
PPP1R9B,"Spn,SPINO",SPN,HGNC
CXXC1,"HsT2645,PCCX1,hCGBP,PHF18,CGBP,SPP1,CFP1,ZCGPC1",SPP1,HGNC
SGPP2,"SPP2,FLJ39004",SPP2,HGNC
GPKOW,"T54,GPATC5,GPATCH5,Spp2,Mos2",SPP2,HGNC
TACR1,"SPR,NK1R,NKIR",SPR,HGNC
SOX9,SRA1,SRA1,HGNC
SRMS,"SRM,dJ697K14.1,PTK70",SRM,HGNC
IL1RL1,"ST2,FIT-1,ST2L,ST2V,DER4,T1,IL33R",ST2,HGNC
LRP12,"ST7,FLJ12929",ST7,HGNC
PMEPA1,STAG1,STAG1,HGNC
UXT,"ART-27,STAP1,SKP2",STAP1,HGNC
GUCY2C,"STAR,HSER,GC-C,GCC",STAR,HGNC
STK24,"MST-3,MST3,MST3B,STK3,STE20",STK3,HGNC
SRFBP1,"FLJ25286,p49,STRAP,BUD22,Rlb1",STRAP,HGNC
TTC5,Strap,STRAP,HGNC
PAPPA-AS1,"PAPPA-AS,DIPAS,TAF4B,TAF2C2,TAFII105,NCRNA00156",TAF4B,HGNC
SEC14L2,"TAP,SPF,KIAA1186,KIAA1658,TAP1",TAP1,HGNC
SEC14L3,TAP2,TAP2,HGNC
TCEA1P2,TCEA1,TCEA1,HGNC
TENM1,"TEN-M1,TEN1",TEN1,HGNC
PTEN,"MMAC1,TEP1,PTEN1",TEP1,HGNC
F3,"CD142,TF",TF,HGNC
TBXAS1,"CYP5,CYP5A1,THAS,TXS,TXAS,TS",THAS,HGNC
USP2-AS1,"THY1-AS1,gLINC",THY1-AS1,HGNC
IL22,"ILTIF,IL-21,zcyto18,IL-TIF,IL-D110,TIFa,TIFIL-23,IL-22,MGC79382,MGC79384",TIFA,HGNC
DDR2,TKT,TKT,HGNC
TMPRSS4,"TMPRSS3,MT-SP2,CAP2",TMPRSS3,HGNC
BTF3P11,"HUMBTFB,TNFRSF11B,OPG,OCIF",TNFRSF11B,HGNC
TNNI3,"TNNC1,CMH7,cTNI",TNNC1,HGNC
TDO2,"TDO,TPH2",TPH2,HGNC
THPO,"TPO,MPLLG",TPO,HGNC
ACD,"Ptop,Pip1,Tpp1,Tint1",TPP1,HGNC
TP53RK,"dJ101A2.2,prpk,Nori-2p,BUD32,TPRKB",TPRKB,HGNC
TGFBRAP1,"TRAP-1,TRAP1,VPS3",TRAP1,HGNC
TRAV1-1,"TRAV11,TCRAV1S1,TCRAV7S1",TRAV11,HGNC
THRB,"THRB1,THRB2,NR1A2,THR1,ERBA-BETA,GRTH,TRbeta,TRb,c-erbA-beta,c-erbA-2,THRbeta,TRbeta1,THRbeta1,Thrbeta2",TRB,HGNC
SND1,"TDRD11,p100,TSN",TSN,HGNC
NKX2-1,"TTF-1,TTF1",TTF1,HGNC
LINC00598,"TTL,lncFOXO1",TTL,HGNC
BAP1,"hucep-6,KIAA0272,UCHL2",UCHL2,HGNC
UTS2,"UII,U-II,UCN2,PRO1068",UCN2,HGNC
UGT1A1,UGT1A,UGT1A,HGNC
UGT2B4,UGT2B11,UGT2B11,HGNC
UBE2Z,"FLJ13855,USE1",USE1,HGNC
USP32,"NY-REN-60,USP10",USP10,HGNC
USP21,USP16,USP16,HGNC
USP25,USP21,USP21,HGNC
CPAMD8,"KIAA1283,VIP,K-CAP",VIP,HGNC
DDOST,"OST,KIAA0115,OST48,WBP1",WBP1,HGNC
ECEL1,"XCE,DINE",XCE,HGNC
ZNF737,ZNF102,ZNF102,HGNC
ZSCAN12P1,"ZNF187p1,dJ313I6.7",ZNF187P1,HGNC
ZNF121,"ZHC32,ZNF20",ZNF20,HGNC
RNF141,"ZFP26,ZNF230",ZNF230,HGNC
ZNF106,"ZNF474,SH3BP3",ZNF474,HGNC
ZFP1,"FLJ34243,ZNF475",ZNF475,HGNC
ZNF208,"PMIDP,ZNF95",ZNF95,HGNC
IGHA2,A2M,A2M,NCBI
NPSR1-AS1,AAA1,AAA1,NCBI
GPT,"AAT1,ALT,ALT1,GPT1,SGPT",AAT1,NCBI
CFAP91,"AAT1,AAT1alpha,C3orf15,CaM-IP2,MAATS1,SPATA26,SPGF51",AAT1,NCBI
PPP1R12C,"AAVS1,LENG3,MBS85,p84,p85",AAVS1,NCBI
SOAT1,"ACACT,ACAT,ACAT-1,ACAT1,SOAT,STAT",ACAT1,NCBI
SOAT2,"ACACT2,ACAT2,ARGP2",ACAT2,NCBI
A1CF,"ACF,ACF64,ACF65,APOBEC1CF,ASP",ACF,NCBI
CCRL2,"ACKR5,CKRX,CRAM,CRAM-A,CRAM-B,HCR",ACKR5,NCBI
NDUFAB1,"ACP,ACP1,FASN2A,SDAP",ACP1,NCBI
POTEF,"A26C1B,ACTB,POTE2alpha,POTEACTIN",ACTB,NCBI
ACTBP8,ACTBP2,ACTBP2,NCBI
ACTG1P10,"ACTGP10,ACTL1,ACTP1",ACTP1,NCBI
ADAM10,"AD10,AD18,CD156c,CDw156,HsT18717,MADM,RAK,kuz",AD10,NCBI
TADA2A,"ADA2,ADA2A,KL04P,TADA2L,hADA2",ADA2,NCBI
ADAM17,"ADAM18,CD156B,CSVP,NISBD,NISBD1,TACE",ADAM18,NCBI
ADCY8,"AC8,ADCY3,HBAC1",ADCY3,NCBI
ADH7,ADH4,ADH4,NCBI
AK1,"ADK,Adk1,CNSHA3,HTL-S-58j",ADK,NCBI
LMNB1,"ADLD,ADLDAT,LMN,LMN2,LMNB,MCPH26",ADLDAT,NCBI
ADRA1D,"ADRA1,ADRA1A,ADRA1R,ALPHA1,DAR,dJ779E11.2",ADRA1A,NCBI
TRIM26,"AFP,RNF95,ZNF173",AFP,NCBI
IFT70A-AS1,"AGPS,PDE11A",AGPS,NCBI
AGXT,"AGT,AGT1,AGXT1,PH1,SPAT,SPT,Ser-PyrAT,TLH6",AGT,NCBI
CYP1A1,"AHH,AHRR,CP11,CYP1,CYPIA1,P1-450,P450-C,P450DX",AHRR,NCBI
ANKS1B,"AIDA,AIDA-1,ANKS2,EB-1,EB1,cajalin-2",AIDA,NCBI
AURKAIP1,"AIP,AKIP,MRP-S38,mS38",AIP,NCBI
AIRN,"AIR,IGF2R-AS,IGF2R-AS1,IGF2RAS,NCRNA00088",AIR,NCBI
IS2,AIS2,AIS2,NCBI
AK4,"AK 4,AK3,AK3L1,AK3L2",AK3,NCBI
AK3,"AK3L1,AK6,AKL3L,AKL3L1,FIX",AK6,NCBI
AK5,AK6,AK6,NCBI
FBF1,"Alb,FBF-1",ALB,NCBI
ALG10B,"ALG10,KCR1",ALG10,NCBI
CNN3-DT,ALG14-AS1,ALG14-AS1,NCBI
PDCD6,"ALG-2,ALG2,PEF1B",ALG2,NCBI
KMT2A,"ALL-1,ALL1,CXXC7,GAS7,HRX,HTRX,HTRX1,MLL,MLL1,MLL1A,TRX1,WDSTS",ALL1,NCBI
MIR497HG,"ALOX12-AS1,MIR195HG",ALOX12-AS1,NCBI
ALPP,"ALP,ALPI,IAP,PALP,PLAP,PLAP-1",ALPI,NCBI
NPR2,"AMD1,AMDM,ANPRB,ANPb,ECDM,GC-B,GCB,GUC2B,GUCY2B,NPRB,NPRBi,SNSK",AMD1,NCBI
ABCD1,"ABC42,ALD,ALDP,AMN",AMN,NCBI
CCDC102B,"ACY1L,AN,C18orf14,HsT1731",AN,NCBI
DIAPH3,"AN,AUNA1,DIA2,DRF3,NSDAN,diap3,mDia2",AN,NCBI
PAX6,"AN,AN1,AN2,ASGD5,D11S812E,FVH1,MGDA,WAGR",AN,NCBI
ELP4,"AN,AN2,C11orf19,PAX6NEB,PAXNEB,dJ68P15A.1,hELP4",AN,NCBI
UBE3A,"ANCR,AS,E6-AP,EPVE6AP,HPVE6A,PIX1",ANCR,NCBI
DANCR,"AGU2,ANCR,KIAA0114,SNHG13,lncRNA-ANCR",ANCR,NCBI
ANKRD30BL,"ANKRD30BP3,NCRNA00164",ANKRD30BP3,NCBI
ANKRD52,"ANKRD33,ARSC",ANKRD33,NCBI
ANXA8L1,"ANXA8,ANXA8L2,VAC-beta,bA145E20.2",ANXA8,NCBI
PROC,"APC,PC,PROC1,THPH3,THPH4",APC,NCBI
SLC25A23,"APC2,MCSC2,SCAMC3,SCaMC-3",APC2,NCBI
ANAPC2,APC2,APC2,NCBI
LPAL2,"APOA2,APOAL,APOARGC,apo(a)rg-C",APOA2,NCBI
APOBEC3A_B,"A3A,APOBEC3A",APOBEC3A,NCBI
APOC4-APOC2,"APOC4,Apo-CIV,ApoC-IV",APOC4,NCBI
APOL2,"APOL-II,APOL3",APOL3,NCBI
APLP2,"APLP-2,APPH,APPL2,CDEBP",APPL2,NCBI
MINDY4,"AQP-1,AQP1,C7orf67,CHIP28,FAM188B",AQP1,NCBI
AKR1B1,"ADR,ALDR1,ALR2,AR",AR,NCBI
AREG,"AR,AREGB,CRDGF,SDGF",AR,NCBI
NOL3,"ARC,FCM,MYOCL1,MYP,NOP,NOP30",ARC,NCBI
ARF1P1,ARF1,ARF1,NCBI
ARL17A,"ARF1P2,ARL17P1",ARF1P2,NCBI
ARFGAP3,ARFGAP1,ARFGAP1,NCBI
TINAGL1,"ARG1,LCN7,LIECG3,TINAGRP",ARG1,NCBI
ARHGAP21,ARHGAP10,ARHGAP10,NCBI
ARHGAP19-SLIT1,ARHGAP19,ARHGAP19,NCBI
AKR1B10,"AKR1B11,AKR1B12,ALDRLn,ARL-1,ARL1,HIS,HSI",ARL1,NCBI
ARL17B,"ARL17,ARL17A",ARL17A,NCBI
MIA3,"ARNT,D320,ODCD2,TANGO,TANGO1,UNQ6077",ARNT,NCBI
ARPC4-TTLL3,"ARC20,ARPC4,p20-ARC",ARPC4,NCBI
ARPIN-AP3S2,"ARPIN,C15orf38,C15orf38-AP3S2",ARPIN,NCBI
ANKRD44,"ARSB,PP6-ARS-B",ARSB,NCBI
SLURP1,"ANUP,ARS,ArsB,LY6-MT,LY6LS,MDM",ARSB,NCBI
TSPAN32,"ART1,PHEMX,PHMX,TSSC6",ART1,NCBI
UBA2,"ACCES,ARX,HRIHFB2115,SAE2",ARX,NCBI
GPR75-ASB3,"ASB-3,ASB3",ASB3,NCBI
PARD3,"ASIP,Baz,PAR3,PAR3alpha,PARD-3,PARD3A,PPP1R118,SE2-5L16,SE2-5LT1,SE2-5T2",ASIP,NCBI
ADSL,"AMPS,ASASE,ASL",ASL,NCBI
ASDURF,"ASNSD1,ASNSD1-SEP,NS3TP1",ASNSD1,NCBI
NPSR1,"ASRT2,GPR154,GPRA,NPSR,PGR14,VRR1",ASRT2,NCBI
DTD2,"ATD,C14orf126",ATD,NCBI
ATM,"AT1,ATA,ATC,ATD,ATDC,ATE,TEL1,TELO1",ATD,NCBI
GDNF,"ATF,ATF1,ATF2,HFB1-GDNF,HSCR3",ATF1,NCBI
GDNF,"ATF,ATF1,ATF2,HFB1-GDNF,HSCR3",ATF2,NCBI
KCNQ1,"ATFB1,ATFB3,JLNS1,KCNA8,KCNA9,KVLQT1,Kv1.9,Kv7.1,LQT,LQT1,RWS,SQT2,WRS",ATFB1,NCBI
BCL11B,"ATL1,ATL1-alpha,ATL1-beta,ATL1-delta,ATL1-gamma,CTIP-2,CTIP2,IDDFSTA,IMD49,RIT1,SMARCM2,ZNF856B,hRIT1-alpha",ATL1,NCBI
ATP1A3,"AHC2,ATP1A1,CAPOS,DEE99,DYT12,RDP",ATP1A1,NCBI
ATP1A4,"ATP1A1,ATP1AL2",ATP1A1,NCBI
ATP2B4,"ATP2B2,MXRA1,PMCA4,PMCA4b,PMCA4x",ATP2B2,NCBI
MMAB,"ATR,CFAP23,cblB,cob",ATR,NCBI
SERPINA2,"ARGS,ATR,PIL,SERPINA2P,psiATR",ATR,NCBI
ANTXR1,"ATR,GAPO,TEM8",ATR,NCBI
TWNK,"ATXN8,C10orf2,IOSCA,MTDPS7,PEO,PEO1,PEOA3,PRLTS5,SANDO,SCA8,TWINL",ATXN8,NCBI
AUTS8,AUTS2,AUTS2,NCBI
IFNAR1,"AVP,IFN-alpha-REC,IFNAR,IFNBR,IFRC,IMD106",AVP,NCBI
NLRP3,"AGTAVPRL,AII,AVP,C1orf7,CIAS1,CLR1.1,DFNA34,FCAS,FCAS1,FCU,KEFH,MWS,NALP3,PYPAF1",AVP,NCBI
AZIN2,"ADC,AZI2,AZIB1,ODC-p,ODC1L,ODCp",AZI2,NCBI
B4GAT1,"B3GN-T1,B3GNT1,B3GNT6,BETA3GNTI,MDDGA13,iGAT,iGNT",B3GNT6,NCBI
QTGAL,"3-Gn-T8,B3GNT8,B3GNTL1,BGnT-8,beta-1,beta3Gn-T8,beta3GnTL1",B3GNT8,NCBI
BRIP1,"BACH1,FANCJ,OF",BACH1,NCBI
MAGI1,"AIP-3,AIP3,BAIAP1,BAP-1,BAP1,MAGI-1,MAGI-1b,Magi1d,TNRC19,WWP3",BAP1,NCBI
RNF2,"BAP-1,BAP1,DING,HIPI3,LUSYAM,RING1B,RING2",BAP1,NCBI
BCAT2,"BCAM,BCATM,BCT2,HVLI,PP18",BCAM,NCBI
BCL6,"BCL5,BCL6A,LAZ3,ZBTB27,ZNF51",BCL5,NCBI
RN7SL263P,"BCR,rbc",BCR,NCBI
BANF1,"BAF,BCRP1,D14S1460,NGPS",BCRP1,NCBI
BANF1P1,"BCRG1,BCRP1,D14S1460,D14S1460E",BCRP1,NCBI
ABCG2,"ABC15,ABCP,BCRP,BCRP1,BMDP,CD338,CDw338,CDw388,EST157481,GOUT1,MRX,MXR,MXR-1,MXR1,UAQTL1",BCRP1,NCBI
DCAF5,"BCRG2,BCRP2,D14S1461E,WDR22",BCRP2,NCBI
BDNF-AS,"ANTI-BDNF,BDNF,BDNF-AS1,BDNFAS,BDNFOS,NCRNA00049",BDNF,NCBI
PTPN18,"BDP1,PTP-HSCF",BDP1,NCBI
TBXAS1,"BDPLT14,CYP5,CYP5A1,GHOSAL,THAS,TS,TXAS,TXS",BDPLT14,NCBI
MYP1,BED,BED,NCBI
BEX2,"BEX1,DJ79P11.1",BEX1,NCBI
