gene_symbol,alias_symbol,intersect_point,source
F3,"CD142, TF, TFA",TF,NCBI Info
FANCA,"FA, FA-H, FA1, FAA, FACA, FAH, FANCH",FAH,NCBI Info
FASN,"FAS, OA-519, SDR27X1",FAS,NCBI Info
FCGR1BP,"CD34, CD64b, FCG1, FcgammaRIa, FCGR1, FCGR1B, FcRI, IGFR1, IGFRB",CD34,NCBI Info
FCGR2B,"CD32, CD32B, FCG2, FcgammaRIIb, FCGR2, FCGR2C, FcGRIIB, FcRII-c, IGFR2",FCGR2C,NCBI Info
FCGR3B,"CD16, CD16-I, CD16A, CD16b, FCG3, FCGR3, FCGR3A, FCR-10, FCRIII, FCRIIIb",FCGR3A,NCBI Info
FGF13,"DEE90, FGF-13, FGF2, FHF-2, FHF2, LINC00889, XLID110",FGF2,NCBI Info
FGFR1,"bFGF-R-1, BFGFR, CD331, CEK, ECCL, FGFBR, FGFR-1, FLG, FLT-2, FLT2, HBGFR, HH2, HRTFDS, KAL2, N-SAM, OGD",FLG,NCBI Info
FOXC1,"ARA, ASGD3, FKHL7, FREAC-3, FREAC3, IGDA, IHG1, IRID1, RIEG3",IHG1,NCBI Info
FOXE1,"BAMLAZ, FKHL15, FOXE2, HFKH4, HFKL5, NMTC4, TITF2, TTF-2, TTF2",TTF2,NCBI Info
FOXM1,"FKHL16, FOXM1A, FOXM1B, FOXM1C, HFH-11, HFH11, HNF-3, INS-1, MPHOSPH2, MPP-2, MPP2, PIG29, TRIDENT",MPP2,NCBI Info
FLNA,"ABP-280, ABPX, CSBS, CVD1, FGS2, FLN, FLN-A, FLN1, FMD, MNS, NHBP, OPD, OPD1, OPD2, XLVD, XMVD",FGS2,NCBI Info
FLNB,"ABP-278, ABP-280, AOI, FH1, FLN-B, FLN1L, LRS1, SCT, TABP, TAP",SCT,NCBI Info
FMO4,FMO2,FMO2,NCBI Info
FMR1,"FMRP, FRAXA, POF, POF1",FRAXA,NCBI Info
AFF2,"FMR2, FMR2P, FRAXE, MRX2, OX19, XLID109",FRAXE,NCBI Info
FOLR2,"BETA-HFR, FBP, FBP/PL-1, FOLR1, FR-BETA, FR-P3, FRbeta",FOLR1,NCBI Info
NR5A1,"AD4BP, ELP, FTZ1, FTZF1, hSF-1, POF7, SF-1, SF1, SPGF8, SRXX4, SRXY3",SF1,NCBI Info
FYN,"p59-FYN, SLK, SYN",SLK,NCBI Info
GAGE1,"CT4.1, CT4.4, GAGE-1, GAGE-4, GAGE4",GAGE4,NCBI Info
GABPB1,"BABPB2, E4TF1, E4TF1-47, E4TF1-53, E4TF1B, GABPB, GABPB-1, GABPB2, NRF2B1, NRF2B2",GABPB2,NCBI Info
GALK2,GK2,GK2,NCBI Info
GARS1,"CMT2D, DSMAV, GARS, GlyRS, HMN5, HMN5A, HMND5, SMAD1, SMAJI",SMAD1,NCBI Info
GBA1LP,"Beta-GC, GBA, GBAP, GBAP1, GC, GLUC",GC,NCBI Info
GC,"DBP, DBP-maf, DBP/GC, Gc-MAF, GcMAF, GRD3, HEL-S-51, VDB, VDBG, VDBP",DBP,NCBI Info
GCK,"FGQTL3, GK, GLK, HHF3, HK4, HKIV, HXKP, LGLK, MODY2, PNDM1","FGQTL3, GK",NCBI Info
GDF1,"CERS1, CHTD6, DORV, DTGA3, LAG1, LASS1, RAI, UOG1",CERS1,NCBI Info
GDNF,"ATF, ATF1, ATF2, HFB1-GDNF, HSCR3","ATF1, ATF2",NCBI Info
GLB1,"EBP, ELNR1, MPS4B",EBP,NCBI Info
GLI3,"ACLS, GCPS, GLI3-190, GLI3FL, PAP-A, PAPA, PAPA1, PAPB, PHS, PPDIV",ACLS,NCBI Info
GNAI2,"GIP, GNAI2B, H_LUCA15.1, H_LUCA16.1, HG1C",GIP,NCBI Info
GNAO1,"DEE17, EIEE17, G-ALPHA-o, GNAO, HG1G, HLA-DQB1, NEDIM",HLA-DQB1,NCBI Info
GNAQ,"CMAL, CMC1, G-ALPHA-q, GAQ, SWS",CMC1,NCBI Info
GPI,"AMF, GNPI, NLK, PGI, PHI, SA-36, SA36",NLK,NCBI Info
FFAR3,"FFA3R, GPR41, GPR42",GPR42,NCBI Info
GPT,"AAT1, ALT, ALT1, GPT1, SGPT",AAT1,NCBI Info
GPX7,"CL683, GPx-7, GPX6, GSHPx-7, NPGPx",GPX6,NCBI Info
GRB10,"Grb-10, GRB-IR, IRBP, MEG1, RSS",RSS,NCBI Info
GRIK5,"EAA2, GluK5, GRIK2, KA2",GRIK2,NCBI Info
GUCY2C,"DIAR6, GC-C, GCC, GUC2C, HSER, MECIL, MUCIL, STAR",STAR,NCBI Info
GYPB,"CD235b, GPB, GYP, GYPA, MNS, PAS-3, SS",GYPA,NCBI Info
GYPE,"GPE, GYPA, MiIX, MNS",GYPA,NCBI Info
GZMB,"C11, CCPI, CGL-1, CGL1, CSP-B, CSPB, CTLA1, CTSGL1, HLP, SECT",HLP,NCBI Info
H2AC8,"H2A.1, H2A.2, H2A/a, H2AC4, H2AFA, HIST1H2AE",H2AC4,NCBI Info
H3-3A,"BRYLIB1, H3-3B, H3.3A, H3F3, H3F3A",H3-3B,NCBI Info
H3-3B,"BRYLIB2, H3-3A, H3.3B, H3F3B",H3-3A,NCBI Info
HADHA,"ECHA, GBP, HADH, LCEH, LCHAD, MTPA, TP-ALPHA",HADH,NCBI Info
HCRT,"NRCLP1, OX, PPOX",PPOX,NCBI Info
HCRTR1,"ORXR1, OX1R, OXR1",OXR1,NCBI Info
CFH,"AHUS1, AMBP1, ARMD4, ARMS1, CFHL3, FH, FHL1, HF, HF1, HF2, HUS","FH, FHL1",NCBI Info
HFE,"HFE1, HH, HLA-H, MVCD7, TFQTL2","HLA-H, MVCD7, TFQTL2",NCBI Info
HGF,"DFNB39, F-TCF, HGFB, HPTA, SF",SF,NCBI Info
NRG1,"ARIA, GGF, GGF2, HGL, HRG, HRG1, HRGA, MST131, MSTP131, NDF, NRG1-IT2, SMDF",HRG,NCBI Info
HLA-DPA1,"DP(W3), DP(W4), DPA1, HLA-DP1A, HLA-DPA, HLA-DPB1, HLADP, HLASB, PLT1",HLA-DPB1,NCBI Info
HLA-DQA1,"CELIAC1, DQ-A1, DQA1, HLA-DQA, HLA-DQA1*, HLA-DQB1",HLA-DQB1,NCBI Info
HLA-DQB2,"DQB2, HLA-DQB1, HLA-DXB",HLA-DQB1,NCBI Info
HLA-DRB3,"DRB3, HLA-DPB1, HLA-DR1B, HLA-DR3B, HLA-DRB3*",HLA-DPB1,NCBI Info
HNRNPA1,"ALS19, ALS20, hnRNP A1, hnRNP-A1, HNRPA1, HNRPA1L3, IBMPFD3, MPD3, UP 1",MPD3,NCBI Info
HNRNPC,"C1, C2, HNRNP, HNRPC, MRD74, SNRPC","C2, SNRPC",NCBI Info
HPD,"4-HPPD, 4HPPD, GLOD3, HPPD, HPPDASE, PPD",HPPD,NCBI Info
HPR,"A-259H10.2, HP",HP,NCBI Info
HSD17B4,"DBP, MFE-2, MFP-2, MPF-2, PRLTS1, SDR8C1",DBP,NCBI Info
IAPP,"DAP, IAP",DAP,NCBI Info
IFNA1,"IFL, IFN, IFN-ALPHA, IFN-alphaD, IFNA13, IFNA@, leIF D",IFNA13,NCBI Info
IFNAR1,"AVP, IFN-alpha-REC, IFNAR, IFNBR, IFRC, IMD106",AVP,NCBI Info
IGHA2,A2M,A2M,NCBI Info
IGL,"IGL@, IGLC6",IGLC6,NCBI Info
IK,"CSA2, RED, RER",RER,NCBI Info
IL6,"BSF-2, BSF2, CDF, HGF, HSF, IFN-beta-2, IFNB2, IL-6",HGF,NCBI Info
ILF3,"CBTF, DRBF, DRBP76, MMP4, MPHOSPH4, MPP4, MPP4110, NF-AT-90, NF110, NF110b, NF90, NF90a, NF90b, NF90c, NF90ctv, NFAR, NFAR-1, NFAR-2, NFAR110, NFAR2, NFAR90, TCP110, TCP80",MPP4,NCBI Info
CXCL10,"C7, crg-2, gIP-10, IFI10, INP10, IP-10, mob-1, SCYB10",C7,NCBI Info
INSL3,"ley-I-L, RLF, RLNL",RLF,NCBI Info
EIF6,"b(2)gcn, CAB, eIF-6, EIF3A, ITGB4BP, p27(BBP), p27BBP",EIF3A,NCBI Info
ITIH1,"H1P, IATIH, IGHEP1, ITI-HC1, ITIH, SHAP",IGHEP1,NCBI Info
KCNA4,"HBK4, HK1, HPCN2, HUKII, KCNA4L, KCNA8, KV1.4, MCIDDS, PCN2",HK1,NCBI Info
KCNA5,"ATFB7, HCK1, HK2, HPCN1, KV1.5, PCN1",HK2,NCBI Info
KCNN4,"DHS2, hIKCa1, hKCa4, hSK4, IK, IK1, IKCA1, KCa3.1, KCA4, SK4",IK,NCBI Info
KCNQ1,"ATFB1, ATFB3, JLNS1, KCNA8, KCNA9, Kv1.9, Kv7.1, KVLQT1, LQT, LQT1, RWS, SQT2, WRS","ATFB1, RWS",NCBI Info
KIF2A,"CDCBM3, HK2, KIF2",HK2,NCBI Info
KIR2DL1,"CD158A, KIR-K64, KIR221, KIR2DL3, NKAT, NKAT-1, NKAT1, p58.1",KIR2DL3,NCBI Info
KIR2DL3,"CD158b, CD158B2, GL183, KIR-023GB, KIR-K7b, KIR-K7c, KIR2DL, KIR2DS5, KIRCL23, NKAT, NKAT2, NKAT2A, NKAT2B, p58",KIR2DS5,NCBI Info
KIR3DL1,"CD158E1, KIR, KIR2DL5B, KIR3DL1/S1, NKAT-3, NKAT3, NKB1, NKB1B",KIR2DL5B,NCBI Info
KLKB1,"KLK3, PKK, PKKD, PPK",KLK3,NCBI Info
TNPO1,"IPO2, KPNB2, MIP, MIP1, TRN",MIP,NCBI Info
KRTAP5-9,"KRN1, KRTAP5-1, KRTAP5.9",KRTAP5-1,NCBI Info
KRT6A,"CK-6C, CK-6E, CK6A, CK6C, CK6D, K6A, K6C, K6D, KRT6C, KRT6D, PC3",KRT6C,NCBI Info
KRT9,"CK-9, EPPK, EPPK1, K9",EPPK1,NCBI Info
KRT17,"39.1, CK-17, K17, PC, PC2, PCHC1",PC,NCBI Info
LAMA4,"CMD1JJ, LAMA3, LAMA4*-1",LAMA3,NCBI Info
LAMC1,LAMB2,LAMB2,NCBI Info
RPSA,"37LRP, 67LR, ICAS, LAMBR, lamR, LAMR1, LBP, LBP/p40, LRP, LRP/LR, NEM/1CHD4, p40, SA, uS2",LBP,NCBI Info
LCP1,"CP64, HEL-S-37, L-PLASTIN, LC64P, LPL, PLS2",LPL,NCBI Info
LDLR,"FH, FHC, FHCL1, LDLCQ2",FH,NCBI Info
LGALS3,"CBP35, GAL3, GALBP, GALIG, L31, LGALS2, MAC2",LGALS2,NCBI Info
LIPC,"HDLCQ12, HL, HTGL, LIPH",LIPH,NCBI Info
FADS1,"D5D, FADS6, FADSD5, LLCDL1, TU12",FADS6,NCBI Info
LLGL1,"DLG4, HUGL, HUGL-1, HUGL1, Lgl1, LLGL, Mgl1",DLG4,NCBI Info
LRCH4,"LRN, LRRN1, LRRN4, PP14183","LRRN1, LRRN4",NCBI Info
LRP4,"CLSS, CMS17, LRP-4, LRP10, MEGF7, SOST2",LRP10,NCBI Info
LRP5,"BMND1, EVR1, EVR4, HBM, LR3, LRP-5, LRP-7, LRP7, OPPG, OPS, OPTA1, PCLD4, VBCH2",HBM,NCBI Info
LRPAP1,"A2MRAP, A2RAP, alpha-2-MRAP, HBP44, MRAP, MYP23, RAP",MRAP,NCBI Info
LTBP2,"C14orf141, GLC3D, LTBP3, MSPKA, MSTP031, WMS3",LTBP3,NCBI Info
LTBP3,"DASS, GPHYSD3, LTBP-3, LTBP2, pp6425, STHAG6",LTBP2,NCBI Info
SH2D1A,"DSHP, EBVS, IMD5, LYP, MTCP1, SAP, SAP/SH2D1A, XLP, XLPD, XLPD1",MTCP1,NCBI Info
MAGEA3,"CT1.3, HIP8, HYPD, MAGE3, MAGEA6",MAGEA6,NCBI Info
MAGEA5P,"CT1.5, MAGE5, MAGEA4, MAGEA5",MAGEA4,NCBI Info
MB,"MYOSB, PVALB",PVALB,NCBI Info
MBD1,"CXXC3, PCM1, RFT",PCM1,NCBI Info
MBL2,"COLEC1, HSMBPC, MBL, MBL2D, MBP, MBP-C, MBP1, MBPD",MBP,NCBI Info
MCM2,"BM28, CCNL1, cdc19, CDCL1, D3S3194, DFNA70, MITOTIN",CCNL1,NCBI Info
MCM7,"CDC47, MCM2, P1.1-MCM3, P1CDC47, P85MCM, PNAS146, PPP1R104",MCM2,NCBI Info
ME2,ODS1,ODS1,NCBI Info
MECP2,"AUTSX3, MRX16, MRX79, MRXS13, MRXSL, PPMX, RS, RTS, RTT",MRXSL,NCBI Info
BORCS8-MEF2B,"LOC729991-MEF2B, MEF2B, MEF2BNB-MEF2B, RSRFR2",MEF2B,NCBI Info
MEIS3P1,"MEIS3, MEIS4, MRG2",MEIS3,NCBI Info
MEN1,"MEAI, SCG2",SCG2,NCBI Info
MELTF,"CD228, MAP97, MFI2, MTf, MTF1",MTF1,NCBI Info
KITLG,"DCUA, DFNA69, FPH2, FPHH, Kitl, KL-1, MGF, SCF, SF, SHEP7, SLF, WS2F",SF,NCBI Info
MIPEP,"COXPD31, HMIP, MIP",MIP,NCBI Info
KMT2A,"ALL-1, ALL1, CXXC7, GAS7, HRX, HTRX, HTRX1, MLL, MLL1, MLL1A, TRX1, WDSTS","ALL1, GAS7, HRX",NCBI Info
MMP1,"CLG, CLGN",CLGN,NCBI Info
MMP11,"SL-3, ST3, STMY3",ST3,NCBI Info
MMP12,"HME, ME, MME, MMP-12",MME,NCBI Info
MPP2,DLG2,DLG2,NCBI Info
MPP3,DLG3,DLG3,NCBI Info
MPST,"MST, TST2, TUM1",TST2,NCBI Info
MPZ,"CHM, CHN2, CMT1, CMT1B, CMT2I, CMT2J, CMT4E, CMTDI3, CMTDID, DSS, HMSNIB, MPP, P0","CHM, CHN2",NCBI Info
MST1R,"CD136, CDw136, NPCA3, p185-Ron, PTK8, RON, SEA",SEA,NCBI Info
MTNR1B,"FGQTL2, MEL-1B-R, MT2",FGQTL2,NCBI Info
MTR,"cblG, HMAG, MS",MS,NCBI Info
TRNP,MTTP,MTTP,NCBI Info
MUC1,"ADMCKD, ADMCKD1, ADTKD2, CA 15-3, Ca15-3, CD227, EMA, H23AG, KL-6, MAM6, MCD, MCKD, MCKD1, MUC-1, MUC-1/SEC, MUC-1/X, MUC1/ZD, PEM, PEMT, PUM",PEMT,NCBI Info
MUSK,"CMS9, FADS, FADS1",FADS1,NCBI Info
MYH2,"CMYP6, IBM3, MYH2A, MYHas8, MyHC-2A, MyHC-IIa, MYHSA2, MYPOP",MYPOP,NCBI Info
MYL1,"CMYP14, MLC-1, MLC1, MLC1/3, MLC1F, MLC3F, MYOFTA",MLC1,NCBI Info
MYO1C,"MMI-beta, MMIb, MyoIC, myr2, NMI",NMI,NCBI Info
MYO1E,"FSGS6, HuncM-IC, MYO1C",MYO1C,NCBI Info
MYP1,BED,BED,NCBI Info
MYT1,"C20orf36, MTF1, MYTI, NZF2, PLPB1, ZC2H2C1, ZC2HC4A",MTF1,NCBI Info
NDUFA2,"B8, CD14, CIB8, MC1DN13",CD14,NCBI Info
NDUFAB1,"ACP, ACP1, FASN2A, SDAP",ACP1,NCBI Info
NEDD4,"NEDD4-1, RPF1",RPF1,NCBI Info
NELL1,"IDH3GL, NRP1",NRP1,NCBI Info
NELL2,NRP2,NRP2,NCBI Info
NFE2L1,"LCR-F1, NRF-1, NRF1, TCF11",NRF1,NCBI Info
NFE2L2,"HEBP1, IMDDHH, Nrf-2, NRF2",HEBP1,NCBI Info
NHS,"CTRCT40, CXN, SCML1",SCML1,NCBI Info
NPC1,"NPC, POGZ, SLC65A1",POGZ,NCBI Info
NPPC,"CNP, CNP2",CNP,NCBI Info
NPR2,"AMD1, AMDM, ANPb, ANPRB, ECDM, GC-B, GCB, GUC2B, GUCY2B, NPRB, NPRBi, SNSK",AMD1,NCBI Info
NRAS,"ALPS4, CMNS, KRAS, N-ras, NCMS, NRAS1, NS6",KRAS,NCBI Info
DDR2,"MIG20a, NTRKR3, TKT, TYRO10, WRCN",TKT,NCBI Info
NR4A2,"HZF-3, IDLDP, NOT, NURR1, RNR1, TINUR",RNR1,NCBI Info
OCM2,"OCM, OM",OCM,NCBI Info
OCRL,"Dent-2, DENT2, INPP5F, LOCR, NPHL2, OCRL-1, OCRL1",INPP5F,NCBI Info
ODF1,"CT133, HSPB10, ODF, ODF2, ODF27, ODFP, ODFPG, ODFPGA, ODFPGB, RT7, SODF",ODF2,NCBI Info
PAX1,"HUP48, OFC2, OTFCS2",OFC2,NCBI Info
PAX6,"AN, AN1, AN2, ASGD5, D11S812E, FVH1, MGDA, WAGR",AN,NCBI Info
PBX2P1,"PBX2, PBXP1",PBX2,NCBI Info
PDPK1,"PDK1, PDPK2, PDPK2P, PRO0461","PDK1, PDPK2P",NCBI Info
PFDN1,"PDF, PFD1",PDF,NCBI Info
PGC,"PEPC, PGII",PEPC,NCBI Info
PGF,"D12S1900, PGFL, PIGF, PLGF, PlGF-2, SHGC-10760",PIGF,NCBI Info
PGK1P2,PGK2,PGK2,NCBI Info
PHF1,"hPHF1, MTF2L2, PCL1, PHF2, TDRD19C",PHF2,NCBI Info
SERPINB8,"C18orf53, CAP2, PI-8, PI8, PSS5",CAP2,NCBI Info
PIN1,"DOD, UBL5",UBL5,NCBI Info
PITX1,"BFT, CCF, LBNBG, POTX, PTX1",LBNBG,NCBI Info
PITX3,"ASGD1, ASMD, ASOD, CTPP4, CTRCT11, PTX3",PTX3,NCBI Info
PLGLB2,"PLGLA, PLGLA1, PLGP1, PLGP2, PRGA",PLGLA,NCBI Info
PMS2,"HNPCC4, LYNCH4, MLH4, MMRCS4, PMS-2, PMS2CL, PMSL2",PMS2CL,NCBI Info
PODXL,"gp135, Gp200, PC, PCLP, PCLP-1, PDX, PODXL1",PC,NCBI Info
POLG,"MDP1, MIRAS, MTDPS4A, MTDPS4B, PEO, POLG1, POLGA, SANDO, SCAE",MDP1,NCBI Info
POLR2D,"HSRBP4, HSRPB4, RBP4, RPB16, RPB4",RBP4,NCBI Info
POU4F3,"BRN3C, DFNA15, DFNA42, DFNA52",DFNA42,NCBI Info
POU5F1B,"OCT4-PG1, OCT4PG1, OTF3C, OTF3P1, POU5F1P1, POU5F1P4, POU5FLC20, POU5FLC8",POU5F1P4,NCBI Info
PPP3CA,"ACCIID, CALN, CALNA, CALNA1, CCN1, CNA1, DEE91, IECEE, IECEE1, PPP2B","CCN1, CNA1",NCBI Info
PPY,"PH, PNP, PP",PNP,NCBI Info
SRGN,"PPG, PRG, PRG1",PRG1,NCBI Info
PRG2,"BMPG, MBP, MBP1, proMBP",MBP,NCBI Info
PRH1,"Db-s, PA, PIF-S, Pr1/Pr2, PRH2, PRP-1/PRP-2",PRH2,NCBI Info
PRKCA,"AAG6, PKC-alpha, PKCA, PKCalpha, PKCI+/-, PRKACA",PRKACA,NCBI Info
PKN1,"DBK, PAK-1, PAK1, PKN, PKN-ALPHA, PRK1, PRKCL1",PAK1,NCBI Info
PKN2,"Pak-2, PAK2, PRK2, PRKCL2, PRO2042, STK7",PAK2,NCBI Info
PRKCSH,"80K-H, AGE-R2, G19P1, GIIB, GIIbeta, GluIIbeta, PCLD, PCLD1, PKCSH, PLD1, VASAP-60",PLD1,NCBI Info
EIF2AK2,"DYT33, EIF2AK1, LEUDEN, PKR, PPP1R83, PRKR",EIF2AK1,NCBI Info
PRNP,"AltPrP, ASCR, CD230, CJD, GSS, KURU, p27-30, PRIP, PrP, PrP27-30, PrP33-35C, PrPc",GSS,NCBI Info
PROC,"APC, PC, PROC1, THPH3, THPH4","APC, PC",NCBI Info
PRODH,"HSPOX2, PIG6, POX, PRODH1, PRODH2, TP53I6",PRODH2,NCBI Info
PRSS8,"CAP1, PROSTASIN",CAP1,NCBI Info
PSG1,"B1G1, CD66f, DHFRP2, FL-NCA-1/2, PBG1, PS-beta-C/D, PS-beta-G-1, PSBG-1, PSBG1, PSG95, PSGGA, PSGIIA, SP1","DHFRP2, SP1",NCBI Info
PSG2,"CEA, PSBG2, PSG1",PSG1,NCBI Info
PSG4,"PSBG-4, PSBG-9, PSG9",PSG9,NCBI Info
PSG7,"PS-beta-G-7, PSBG-7, PSG1, PSGGA",PSG1,NCBI Info
PSG9,"PS34, PSBG-11, PSBG-9, PSG11, PSGII",PSG11,NCBI Info
PSMA7,"C6, HEL-S-276, HSPC, RC6-1, XAPC7",C6,NCBI Info
PSMD2,"P97, RPN1, S2, TRAP2",RPN1,NCBI Info
PTEN,"10q23del, BZS, CWS1, DEC, GLM2, MHAM, MMAC1, PTEN1, PTENbeta, TEP1",TEP1,NCBI Info
PTGS1,"COX1, COX3, PCOX1, PES-1, PGG/HS, PGHS-1, PGHS1, PHS1, PTGHS","COX1, COX3",NCBI Info
PTGS2,"COX-2, COX2, GRIPGHS, hCox-2, PGG/HS, PGHS-2, PHS-2",COX2,NCBI Info
PTMAP4,PTMA,PTMA,NCBI Info
PTPRA,"HEPTP, HLPR, HPTPA, HPTPalpha, LRP, PTPA, PTPRL2, R-PTP-alpha, RPTPA",PTPA,NCBI Info
PTPRR,"EC-PTP, PCPTP1, PTP-SL, PTPBR7, PTPRQ",PTPRQ,NCBI Info
PXMP2,"MPV17L3, PMP22",PMP22,NCBI Info
PEX2,"PAF1, PBD5A, PBD5B, PMP3, PMP35, PXMP3, RNF72, ZWS3",PAF1,NCBI Info
RAB4A,"HRES-1, HRES-1/RAB4, HRES1, RAB4",HRES1,NCBI Info
MAP4K2,"BL44, GCK, RAB8IP",GCK,NCBI Info
RAPSN,"CMS11, CMS4C, FADS, FADS2, RAPSYN, RNF205",FADS2,NCBI Info
ARID4A,"RBBP-1, RBBP1, RBP-1, RBP1",RBP1,NCBI Info
KDM5A,"NEDEHC, RBBP-2, RBBP2, RBP2",RBP2,NCBI Info
RBL1,"CP107, p107, PRB1",PRB1,NCBI Info
RBMY1A1,"RBM, RBM1, RBM2, RBMY, RBMY1C, YRRM1, YRRM2",RBMY1C,NCBI Info
PRPH2,"AOFMD, AVMD, CACD2, DS, MDBS1, PRPH, rd2, RDS, RP7, TSPAN22",PRPH,NCBI Info
RHEBP1,"RHEB, RHEB1",RHEB,NCBI Info
RIEG2,"ARS, RGS2",RGS2,NCBI Info
RMRP,"CHH, NME1, RMRPR, RRP2",NME1,NCBI Info
RNASE1,"RAC1, RIB1, RNS1",RAC1,NCBI Info
RNASE3,"ECP, RAF1, RNS3",RAF1,NCBI Info
RNASE6,"RAD1, RNasek6, RNS6",RAD1,NCBI Info
RNF2,"BAP-1, BAP1, DING, HIPI3, LUSYAM, RING1B, RING2",BAP1,NCBI Info
RNF4,"RES4-26, SLX5, SNURF",SNURF,NCBI Info
RORA,"IDDECA, NR1F1, ROR1, ROR2, ROR3, RORa1, RORalpha, RZR-ALPHA, RZRA","ROR1, ROR2",NCBI Info
RPL15,"DBA12, EC45, eL15, L15, RPL10, RPLY10, RPYL10",RPL10,NCBI Info
RPL17,"L17, PD-1, RPL23, uL22",RPL23,NCBI Info
MRPL23,"L23MRP, RPL23, RPL23L, uL23m",RPL23,NCBI Info
RPL36AL,"RPL36A, RPL36A_18_1363, RPL36AP42",RPL36A,NCBI Info
MRPS12,"MPR-S12, MT-RPS12, RPMS12, RPS12, RPSM12, uS12m",RPS12,NCBI Info
RPS27A,"CEP80, eS31, HEL112, S27A, UBA80, UBC, UBCEP1, UBCEP80",UBC,NCBI Info
RRAD,"RAD, RAD1, REM3",RAD1,NCBI Info
RSC1A1,RS1,RS1,NCBI Info
S100A8,"60B8AG, CAGA, CFAG, CGLA, CP-10, L1Ag, MA387, MIF, MRP8, NIF, P8, S100-A8",MIF,NCBI Info
S100A9,"60B8AG, CAGB, CFAG, CGLB, L1AG, LIAG, MAC387, MIF, MRP14, NIF, P14, S100-A9",MIF,NCBI Info
SAA1,"PIG4, SAA, SAA2, TP53I4",SAA2,NCBI Info
SAA2,"SAA, SAA1",SAA1,NCBI Info
SCN9A,"ETHA, FEB3B, GEFSP7, HSAN2D, Nav1.7, NE-NA, NENA, PN1, SFNP",GEFSP7,NCBI Info
CCL13,"CKb10, MCP-4, NCC-1, NCC1, SCYA13, SCYL1",SCYL1,NCBI Info
CCL14,"CC-1, CC-3, CKB1, HCC-1, HCC-1(1-74), HCC-1/HCC-3, HCC-3, MCIF, NCC-2, NCC2, SCYA14, SCYL2, SY14",SCYL2,NCBI Info
CCL15,"HCC-2, HMRP-2B, LKN-1, LKN1, MIP-1 delta, MIP-1D, MIP-5, MRP-2B, NCC-3, NCC3, SCYA15, SCYL3, SY15",SCYL3,NCBI Info
CX3CL1,"ABCD-3, C3Xkine, CXC3, CXC3C, fractalkine, neurotactin, NTN, NTT, SCYD1",NTT,NCBI Info
SELENOP,"SELP, SeP, SEPP, SEPP1",SELP,NCBI Info
SFTPC,"BRICD6, PSP-C, SFTP2, SMDP2, SP-C, SP5",SP5,NCBI Info
SGCG,"35DAG, A4, DAGA4, DMDA, DMDA1, gamma-SG, LGMD2C, LGMDR5, MAM, SCARMD2, SCG3",SCG3,NCBI Info
SH3BGRL,"HEL-S-115, SH3BGR",SH3BGR,NCBI Info
FBXW4,"DAC, FBW4, FBWD4, SHFM3, SHSF3",SHFM3,NCBI Info
PMEL,"D12S53E, gp100, HMB-45, HMB45, ME20, ME20-M, ME20M, P1, P100, PMEL17, SI, SIL, SILV",SI,NCBI Info
SKIC2,"170A, DDX13, HLP, SKI2, SKI2W, SKIV2, SKIV2L, SKIV2L1, THES2",HLP,NCBI Info
SLC2A1,"CSE, DYT17, DYT18, DYT9, EIG12, GLUT, GLUT-1, GLUT1, GLUT1DS, HTLVR, PED, SDCHCN",DYT17,NCBI Info
SLC6A2,"NAT1, NET, NET1, SLC6A5","NAT1, NET1, SLC6A5",NCBI Info
SLC6A4,"5-HTT, 5-HTTLPR, 5HTT, hSERT, HTT, OCD1, SERT, SERT1",HTT,NCBI Info
SLC34A1,"FRTS2, HCINF2, NAPI-3, NPHLOP1, NPT2, NPTIIa, SLC11, SLC17A2",SLC17A2,NCBI Info
SLC18A1,"CGAT, VAT1, VMAT1",VAT1,NCBI Info
SLC19A1,"CHMD, FOLT, hRFC, hSLC19A1, IFC-1, IFC1, IMD114, MEGAF, REFC, RFC, RFC1, RFT-1",RFC1,NCBI Info
SLC20A2,"GLVR-2, GLVR2, IBGC1, IBGC2, IBGC3, MLVAR, PIT-2, PIT2, Ram-1, RAM1","IBGC1, IBGC2",NCBI Info
SLC25A1,"CIC, CMS23, CTP, D2L2AD, SEA, SLC20A3","CIC, SEA",NCBI Info
SLIT1,"MEGF4, SLIL1, SLIT-1, SLIT3",SLIT3,NCBI Info
SLIT3,"MEGF5, SLIL2, Slit-3, SLIT1, slit2",SLIT1,NCBI Info
SLPI,"ALK1, ALP, BLPI, HUSI, HUSI-I, MPI, WAP4, WFDC4",MPI,NCBI Info
SUMO2,"HSMT3, Smt3A, SMT3B, SMT3H2, SUMO3",SUMO3,NCBI Info
FSCN1,"FAN1, HSN, p55, SNL",FAN1,NCBI Info
SNRPD2,"Sm-D2, SMD2, SNRPD1",SNRPD1,NCBI Info
SOAT1,"ACACT, ACAT, ACAT-1, ACAT1, SOAT, STAT",ACAT1,NCBI Info
SORD,"HEL-S-95n, HMNR8, RDH, SDH, SORD1, SORDD, XDH",XDH,NCBI Info
SOS1,"GF1, GGF1, GINGF, HGF, NS4, SOS-1",HGF,NCBI Info
SOX9,"CMD1, CMPD1, SRA1, SRXX2, SRXY10","SRA1, SRXX2, SRXY10",NCBI Info
SPAM1,"HEL-S-96n, HYA1, HYAL1, HYAL3, HYAL5, PH-20, PH20, SPAG15","HYAL1, HYAL3",NCBI Info
